# Taeron Reflow Oven run log
# firmware,v2.0-dev
# profile,Bake 125 °C
# started_at_epoch,1788973181
# started_at_local,2026-09-09 09:59:41 PDT
# entered_at_s,0.0
# wall clock of a row = started_at_epoch + elapsed_s
elapsed_s,target_c,actual_c,relay,cold_c,cpu_c
# NOTE decimated for the repository: every sample to t=400 s, then one every 4 s.
# event,0.0,run_started,profile=Bake 125 °C
-0.3,25.00,24.000,0,24.25,35.99
# event,0.4,stage_changed,stage=hold
0.8,25.07,24.000,0,24.25,35.56
1.8,25.15,24.063,0,24.31,35.35
2.8,25.22,24.000,0,24.25,35.13
4.0,25.31,24.000,1,24.25,35.56
5.0,25.38,24.000,1,24.25,35.35
6.0,25.45,24.000,1,24.25,34.92
7.0,25.53,24.000,1,24.25,35.56
8.0,25.60,24.063,1,24.25,35.13
9.2,25.69,24.063,1,24.25,35.35
10.2,25.76,24.125,1,24.25,34.92
11.2,25.84,24.250,1,24.25,34.92
12.3,25.91,24.375,1,24.25,35.13
13.5,26.00,24.625,1,24.25,35.56
14.8,26.09,24.875,1,24.25,34.92
16.0,26.18,25.250,1,24.25,35.99
17.0,26.25,25.688,1,24.25,35.13
18.0,26.33,26.063,1,24.25,35.35
19.0,26.40,26.500,0,24.25,35.35
20.0,26.47,26.813,1,24.25,35.13
21.0,26.55,27.500,1,24.31,35.14
22.0,26.62,27.938,0,24.25,35.13
23.1,26.70,28.313,0,24.25,35.77
24.2,26.78,28.875,0,24.25,35.99
25.2,26.85,29.313,0,24.25,35.56
26.2,26.93,29.813,0,24.31,34.92
27.2,27.00,30.125,0,24.25,35.35
28.2,27.07,30.500,0,24.25,35.35
29.2,27.15,30.938,0,24.31,35.56
30.2,27.22,31.250,0,24.25,35.77
31.2,27.29,31.813,0,24.25,35.35
32.2,27.36,32.250,0,24.31,35.77
33.2,27.44,32.563,0,24.25,35.35
34.2,27.51,32.875,0,24.25,35.77
35.3,27.58,33.313,0,24.25,35.35
36.3,27.66,33.688,0,24.25,35.35
37.5,27.75,34.188,0,24.31,35.14
38.5,27.82,34.438,0,24.25,35.35
39.5,27.89,34.750,0,24.25,35.56
40.7,27.98,35.250,0,24.31,35.14
41.7,28.05,35.563,0,24.31,35.35
42.7,28.13,35.750,0,24.25,35.77
43.7,28.20,36.063,0,24.25,35.35
44.7,28.27,36.313,0,24.25,35.14
45.7,28.35,36.625,0,24.25,35.56
46.7,28.42,36.875,0,24.25,34.71
47.7,28.49,37.188,0,24.31,35.56
48.7,28.56,37.375,0,24.25,34.71
49.7,28.64,37.625,0,24.25,34.92
50.7,28.71,37.938,0,24.31,35.35
51.7,28.78,38.063,0,24.25,35.35
52.7,28.85,38.313,0,24.31,34.92
53.7,28.93,38.563,0,24.31,34.92
54.7,29.00,38.625,0,24.25,35.13
55.7,29.20,38.875,0,24.31,34.71
56.7,29.41,39.063,0,24.31,35.35
57.7,29.61,39.250,0,24.31,35.99
58.7,29.82,39.438,0,24.31,34.92
59.7,30.02,39.625,0,24.31,35.56
60.7,30.23,39.750,0,24.25,35.13
61.7,30.43,40.000,0,24.31,35.35
62.8,30.64,40.125,0,24.31,34.71
64.0,30.90,40.250,0,24.31,35.35
65.0,31.10,40.313,0,24.25,35.35
66.0,31.31,40.500,0,24.31,35.35
67.0,31.52,40.688,0,24.31,35.13
68.3,31.77,40.813,0,24.31,35.35
69.3,31.98,40.875,0,24.31,35.14
70.3,32.18,40.938,0,24.25,34.92
71.3,32.39,41.063,0,24.25,35.13
72.3,32.60,41.188,0,24.25,35.56
73.5,32.84,41.313,0,24.31,35.13
74.5,33.05,41.438,0,24.31,35.14
75.5,33.35,41.500,0,24.31,35.35
76.5,33.68,41.500,0,24.25,35.56
77.5,34.02,41.688,0,24.31,35.77
78.5,34.35,41.688,0,24.25,35.35
79.5,34.68,41.813,0,24.31,35.14
80.5,35.02,41.875,0,24.31,35.35
81.5,35.35,42.000,0,24.31,35.13
82.5,35.68,42.125,0,24.38,35.35
83.5,36.02,42.063,0,24.31,35.13
84.5,36.36,42.125,0,24.31,35.13
85.7,36.77,42.188,0,24.31,35.35
86.7,37.10,42.313,0,24.38,35.13
87.8,37.53,42.313,0,24.31,35.35
89.0,38.04,42.375,0,24.31,34.92
90.0,38.46,42.438,0,24.31,35.13
91.0,38.89,42.563,0,24.38,35.14
92.2,39.41,42.563,0,24.38,35.56
93.2,39.83,42.563,0,24.38,35.35
94.3,40.26,42.563,0,24.31,35.13
95.5,40.77,42.625,0,24.38,34.92
96.5,41.19,42.688,0,24.38,35.14
97.5,41.66,42.625,0,24.31,34.50
98.5,42.14,42.688,0,24.38,35.13
99.5,42.61,42.688,0,24.31,34.71
100.5,43.09,42.688,0,24.31,35.35
101.5,43.58,42.625,1,24.31,35.13
102.5,44.05,42.688,1,24.31,34.92
103.5,44.55,42.813,0,24.38,34.50
104.7,45.12,42.813,0,24.31,34.92
105.7,45.60,42.813,1,24.31,35.13
106.7,46.12,42.938,1,24.38,34.71
107.7,46.65,43.000,1,24.38,35.13
108.7,47.17,43.125,0,24.38,35.35
109.7,47.70,43.313,1,24.38,35.35
110.7,48.22,43.438,1,24.38,34.92
111.8,48.76,43.688,1,24.38,35.14
113.0,49.41,44.063,1,24.38,35.14
114.0,49.94,44.563,1,24.38,34.92
115.0,50.50,45.000,1,24.38,35.14
116.0,51.07,45.563,1,24.44,34.92
117.0,51.63,46.188,1,24.44,34.92
118.0,52.20,46.813,1,24.38,34.71
119.2,52.89,48.000,1,24.44,35.14
120.2,53.46,48.750,1,24.38,34.50
121.3,54.04,49.750,1,24.44,34.71
122.5,54.74,50.938,1,24.44,34.92
123.5,55.32,52.250,1,24.44,34.92
124.5,55.92,53.313,1,24.44,35.35
125.8,56.65,54.688,1,24.44,34.92
127.0,57.39,56.563,1,24.44,35.56
128.3,58.13,58.063,0,24.44,34.92
129.5,58.84,59.563,0,24.50,34.71
130.5,59.42,60.375,0,24.44,35.35
131.5,60.01,61.125,0,24.44,34.50
132.5,60.60,61.813,0,24.44,34.92
133.5,61.18,62.500,0,24.50,34.92
134.5,61.77,63.250,0,24.44,34.92
135.5,62.35,63.875,0,24.50,34.49
136.5,62.96,64.438,0,24.50,35.14
137.5,63.57,64.938,0,24.44,34.92
138.5,64.19,65.500,0,24.50,34.49
139.5,64.80,66.188,0,24.50,34.49
140.5,65.42,66.750,0,24.56,35.56
141.5,66.03,67.125,0,24.56,35.13
142.5,66.65,67.500,0,24.50,34.71
143.5,67.27,67.938,0,24.56,35.14
144.5,67.90,68.250,0,24.56,35.14
145.5,68.54,68.688,1,24.56,34.92
146.5,69.17,68.938,0,24.56,34.71
147.8,69.95,69.375,0,24.50,34.92
148.8,70.58,69.688,0,24.56,34.71
149.8,71.22,70.063,1,24.56,34.71
151.0,72.01,70.563,1,24.63,34.92
152.0,72.68,70.875,0,24.56,34.71
153.2,73.45,71.438,1,24.63,35.35
154.2,74.09,71.813,1,24.63,34.71
155.3,74.75,72.250,1,24.63,34.71
156.6,75.59,72.938,0,24.63,35.13
157.7,76.34,73.750,1,24.63,35.35
158.7,76.99,74.313,1,24.63,34.92
159.7,77.63,74.938,1,24.63,34.49
160.8,78.28,75.750,1,24.63,35.14
162.0,79.09,77.000,1,24.69,34.92
163.2,79.88,78.063,1,24.63,35.35
164.2,80.52,79.125,0,24.69,34.28
165.3,81.17,80.375,1,24.69,34.49
166.3,81.82,81.250,1,24.75,35.14
