# duty is the COMMANDED duty, which the run log does not carry;
# it is the input signal the plant identification needs.
elapsed_s,state,temp_c,target_c,duty,relay,cold_c,cpu_c
0.00,running,34.1250,25.00,0.000,0,30.00,35.35
1.06,running,34.0625,34.95,0.990,0,30.00,34.29
2.00,running,34.0000,35.68,1.000,0,29.94,34.29
3.01,running,34.0625,36.46,1.000,0,30.00,34.07
4.01,running,34.0625,37.24,1.000,1,30.00,34.50
5.01,running,34.0625,38.07,1.000,1,30.00,34.29
6.01,running,34.0000,39.13,1.000,1,29.94,34.29
7.01,running,34.0000,40.19,1.000,1,29.94,33.86
8.02,running,34.0625,41.26,1.000,1,30.00,33.86
9.01,running,34.0000,42.32,1.000,1,29.94,34.07
10.00,running,34.0625,43.38,1.000,1,29.94,33.87
11.01,running,34.1250,44.46,1.000,1,29.94,34.29
12.01,running,34.1875,45.52,1.000,1,29.88,34.29
13.00,running,34.3125,46.67,1.000,1,29.88,34.07
14.00,running,34.5625,47.94,1.000,1,29.88,33.86
15.00,running,34.8125,49.21,1.000,1,29.88,34.29
16.01,running,35.1250,50.49,1.000,1,29.94,34.29
17.01,running,35.4375,51.76,1.000,1,29.94,34.29
18.01,running,35.8750,53.04,1.000,1,29.88,34.50
19.01,running,36.4375,54.31,1.000,1,29.94,34.29
20.00,running,36.8125,55.57,1.000,1,29.88,34.29
21.02,running,37.3750,56.86,1.000,1,29.88,34.71
22.07,running,38.0625,58.20,1.000,1,29.94,34.07
23.06,running,38.7500,59.49,1.000,1,29.94,34.07
24.11,running,39.7500,61.00,1.000,1,29.88,33.86
25.01,running,40.3750,62.28,1.000,1,29.88,34.07
26.01,running,41.2500,63.71,1.000,1,29.88,34.07
27.00,running,42.2500,65.14,1.000,1,29.88,34.71
28.00,running,43.7500,66.57,1.000,1,29.88,34.07
29.00,running,44.8125,68.01,1.000,1,29.88,33.86
30.01,running,45.9375,69.44,1.000,1,29.81,34.07
31.00,running,47.1875,70.87,1.000,1,29.88,34.50
32.01,running,48.3125,72.31,1.000,1,29.81,34.71
33.01,running,49.6875,73.74,1.000,1,29.88,33.86
34.01,running,51.3750,75.17,1.000,1,29.88,34.29
35.01,running,52.6875,76.62,1.000,1,29.81,34.50
36.01,running,54.0625,78.04,1.000,1,29.81,34.08
37.00,running,55.5625,79.45,1.000,1,29.81,34.07
38.01,running,57.0625,80.88,1.000,1,29.81,33.87
39.01,running,58.5000,82.30,1.000,1,29.81,34.50
40.03,running,60.9375,83.74,1.000,1,29.81,34.29
41.01,running,62.5625,85.14,1.000,1,29.81,34.29
42.01,running,64.1250,86.55,1.000,1,29.81,33.86
43.01,running,65.6875,87.98,1.000,1,29.75,34.71
44.01,running,67.7500,89.39,1.000,1,29.75,33.64
45.01,running,69.5000,90.81,1.000,1,29.81,34.50
46.07,running,71.1875,92.31,1.000,1,29.81,34.29
47.03,running,72.8125,93.67,1.000,1,29.81,34.08
48.08,running,74.5625,95.15,1.000,1,29.81,34.29
49.01,running,76.2500,96.48,1.000,1,29.75,34.29
50.00,running,78.0625,97.89,1.000,1,29.81,34.07
51.01,running,80.1875,99.31,1.000,1,29.81,33.86
52.00,running,81.8125,100.72,1.000,1,29.81,34.29
53.00,running,84.1250,102.14,1.000,1,29.81,34.08
54.02,running,85.8750,103.57,1.000,1,29.81,34.07
55.00,running,88.0625,104.97,1.000,1,29.81,34.07
56.01,running,89.8125,106.40,1.000,1,29.81,34.08
57.01,running,91.5000,107.80,1.000,1,29.75,34.07
58.01,running,93.3125,109.08,1.000,1,29.88,33.86
59.03,running,95.0000,110.40,1.000,1,29.81,34.29
60.01,running,96.6875,111.65,1.000,1,29.81,34.71
61.01,running,98.4375,112.94,1.000,1,29.81,34.07
62.03,running,100.5625,114.25,1.000,1,29.81,33.86
63.00,running,102.2500,115.50,1.000,1,29.81,34.08
64.02,running,103.8750,116.81,1.000,1,29.81,34.07
65.01,running,105.9375,118.09,1.000,1,29.75,34.07
66.01,running,108.0625,119.37,1.000,1,29.75,33.86
67.01,running,109.6875,120.65,1.000,1,29.75,34.08
68.01,running,111.4375,121.94,1.000,1,29.81,33.86
69.01,running,113.0625,123.22,1.000,1,29.81,34.29
70.01,running,114.6250,124.51,1.000,1,29.81,33.87
71.02,running,116.1250,125.79,1.000,1,29.75,33.86
72.02,running,117.6875,126.95,1.000,1,29.75,34.29
73.05,running,119.6875,128.15,1.000,1,29.75,33.86
74.07,running,121.3125,129.33,1.000,1,29.81,33.86
75.08,running,123.1875,130.51,1.000,1,29.81,34.93
76.00,running,124.3750,131.57,1.000,1,29.81,33.64
77.01,running,126.6250,132.74,1.000,1,29.81,34.08
78.02,running,128.1875,133.92,1.000,1,29.88,34.07
79.02,running,129.5625,135.07,1.000,1,29.81,34.07
80.01,running,131.0625,136.22,1.000,1,29.81,34.29
81.02,running,132.5625,137.39,1.000,1,29.88,34.29
82.01,running,133.9375,138.54,1.000,1,29.88,34.29
83.01,running,135.3750,139.71,1.000,1,29.88,34.72
84.00,running,137.1250,140.86,1.000,1,29.88,34.50
85.01,running,138.5625,141.98,1.000,1,29.88,33.86
86.01,running,139.8750,143.02,1.000,1,29.88,34.50
87.01,running,141.2500,144.07,1.000,1,29.88,33.86
88.02,running,142.6250,145.14,1.000,1,29.94,34.50
89.00,running,144.0000,146.16,0.953,1,29.88,34.29
90.05,running,145.9375,147.26,0.707,1,29.94,33.86
91.02,running,147.1875,148.28,0.663,1,29.94,33.64
92.01,running,148.4375,149.32,0.682,1,29.94,33.86
93.02,running,149.6250,150.15,0.281,1,29.94,33.64
94.07,running,151.1875,150.57,0.000,0,29.94,34.07
95.06,running,152.1250,150.96,0.000,0,29.94,34.29
96.06,running,152.8125,151.36,0.005,0,30.00,34.29
97.07,running,153.2500,151.77,0.106,0,29.94,34.71
98.01,running,153.6875,152.14,0.167,0,30.00,34.71
99.03,running,153.9375,152.55,0.272,0,30.00,33.85
100.01,running,154.0000,152.94,0.404,1,30.00,34.29
101.01,running,154.4375,153.34,0.406,0,30.06,34.50
102.00,running,154.6875,153.74,0.424,0,30.06,34.71
103.01,running,154.8125,154.14,0.497,0,30.06,33.85
104.01,running,154.8125,154.54,0.630,1,30.06,34.50
105.00,running,155.0625,154.94,0.668,1,30.06,33.86
106.02,running,155.3125,155.34,0.676,0,30.13,34.08
107.00,running,155.5625,155.74,0.676,0,30.19,34.29
108.01,running,155.6250,156.14,0.789,1,30.13,34.29
109.01,running,155.8125,156.54,0.847,1,30.19,34.50
110.01,running,156.1250,156.94,0.839,1,30.19,34.29
111.01,running,156.5000,157.34,0.819,0,30.25,33.86
112.03,running,156.7500,157.75,0.849,1,30.25,34.29
113.00,running,157.2500,158.14,0.798,1,30.25,34.28
114.01,running,157.6250,158.54,0.810,1,30.25,33.86
115.01,running,158.1875,158.94,0.727,0,30.31,33.86
116.01,running,158.6250,159.34,0.711,1,30.25,33.86
117.02,running,159.0000,159.74,0.738,1,30.31,34.93
118.00,running,159.5000,160.14,0.737,1,30.38,33.86
119.01,running,160.0000,160.54,0.690,0,30.38,33.86
120.01,running,160.4375,160.94,0.694,1,30.38,34.29
121.00,running,160.9375,161.34,0.675,1,30.44,33.86
122.00,running,161.4375,161.74,0.656,1,30.44,34.29
123.01,running,162.1250,162.14,0.564,0,30.50,34.28
124.08,running,162.6250,162.57,0.555,1,30.50,34.50
125.04,running,163.0625,162.95,0.553,1,30.56,33.86
126.01,running,163.5000,163.34,0.571,1,30.50,34.50
127.02,running,164.1875,163.75,0.473,0,30.50,34.50
128.01,running,164.6875,164.14,0.441,0,30.56,34.07
129.00,running,164.9375,164.54,0.506,1,30.56,33.86
130.01,running,165.3750,164.94,0.541,1,30.63,34.29
131.01,running,165.7500,165.34,0.568,0,30.63,33.86
132.01,running,166.0625,165.74,0.561,0,30.63,34.71
133.01,running,166.3750,166.14,0.618,1,30.69,34.50
