# duty is the COMMANDED duty, which the run log does not carry;
# it is the input signal the plant identification needs.
elapsed_s,state,temp_c,target_c,duty,relay,cold_c,cpu_c
0.00,running,59.3750,25.00,0.000,0,31.38,35.78
1.05,running,59.3750,60.87,1.000,0,31.44,34.71
2.00,running,59.3125,62.23,1.000,0,31.44,34.50
3.00,running,59.2500,63.67,1.000,0,31.44,34.71
4.00,running,59.1875,65.11,1.000,1,31.44,34.71
5.00,running,59.1250,66.54,1.000,1,31.44,34.50
6.03,running,59.0625,68.01,1.000,1,31.44,34.71
7.00,running,59.0000,69.40,1.000,1,31.44,34.71
8.00,running,58.9375,70.84,1.000,1,31.44,34.28
9.00,running,58.8750,72.26,1.000,1,31.44,34.07
10.00,running,59.0000,73.70,1.000,1,31.50,34.71
11.00,running,59.0000,75.14,1.000,1,31.44,34.50
12.01,running,59.1250,76.58,1.000,1,31.50,34.07
13.01,running,59.1875,78.02,1.000,1,31.44,34.50
14.00,running,59.3750,79.42,1.000,1,31.44,34.71
15.01,running,59.6875,80.85,1.000,1,31.50,34.71
16.03,running,60.0000,82.29,1.000,1,31.50,34.71
17.00,running,60.5625,83.67,1.000,1,31.50,34.50
18.00,running,60.8125,85.09,1.000,1,31.44,34.93
19.01,running,61.3125,86.53,1.000,1,31.50,34.72
20.00,running,61.8750,87.93,1.000,1,31.50,34.50
21.00,running,62.4375,89.34,1.000,1,31.50,34.29
22.01,running,63.0625,90.77,1.000,1,31.50,34.49
23.00,running,63.9375,92.18,1.000,1,31.50,34.93
24.01,running,65.0000,93.61,1.000,1,31.56,34.93
25.02,running,65.6875,95.04,1.000,1,31.50,34.50
26.00,running,66.6250,96.43,1.000,1,31.50,34.50
27.01,running,67.8125,97.86,1.000,1,31.56,34.92
28.01,running,68.6875,99.28,1.000,1,31.50,34.71
29.03,running,69.7500,100.72,1.000,1,31.50,34.71
30.05,running,70.8125,102.18,1.000,1,31.56,34.71
31.07,running,71.9375,103.62,1.000,1,31.56,34.50
32.09,running,73.0625,105.07,1.000,1,31.56,34.71
33.00,running,74.6250,106.36,1.000,1,31.56,34.71
34.00,running,75.9375,107.76,1.000,1,31.63,34.50
35.00,running,77.1875,109.04,1.000,1,31.63,34.50
36.01,running,78.5000,110.34,1.000,1,31.63,34.49
37.01,running,79.8125,111.62,1.000,1,31.56,34.50
38.01,running,82.0000,112.91,1.000,1,31.56,34.50
39.02,running,83.5000,114.21,1.000,1,31.63,34.50
40.00,running,84.8750,115.47,1.000,1,31.63,35.14
41.01,running,86.4375,116.77,1.000,1,31.63,34.71
42.00,running,87.9375,118.04,1.000,1,31.63,34.50
43.01,running,89.8125,119.34,1.000,1,31.63,34.71
44.00,running,91.3750,120.61,1.000,1,31.63,35.35
45.03,running,92.9375,121.93,1.000,1,31.63,35.14
46.01,running,94.5000,123.19,1.000,1,31.63,34.28
47.01,running,96.0625,124.48,1.000,1,31.63,34.50
48.01,running,97.6875,125.75,1.000,1,31.63,34.50
49.01,running,99.7500,126.91,1.000,1,31.69,34.07
50.02,running,101.3750,128.08,1.000,1,31.69,34.50
51.06,running,103.3750,129.29,1.000,1,31.69,35.14
52.00,running,105.0000,130.39,1.000,1,31.69,34.50
53.03,running,107.0000,131.58,1.000,1,31.69,34.71
54.06,running,108.6875,132.77,1.000,1,31.69,34.50
55.00,running,110.2500,133.87,1.000,1,31.75,34.72
56.00,running,111.8750,135.02,1.000,1,31.75,34.93
57.00,running,113.5000,136.19,1.000,1,31.75,34.29
58.01,running,115.1250,137.35,1.000,1,31.75,34.71
59.00,running,116.6875,138.51,1.000,1,31.75,34.50
60.01,running,118.7500,139.68,1.000,1,31.81,34.93
61.01,running,120.3125,140.84,1.000,1,31.81,34.71
62.01,running,121.8750,141.95,1.000,1,31.81,34.93
63.01,running,123.4375,143.00,1.000,1,31.81,34.07
64.01,running,125.0625,144.05,1.000,1,31.88,34.29
65.00,running,127.3750,145.09,1.000,1,31.88,34.71
66.00,running,128.9375,146.14,1.000,1,31.88,34.50
67.01,running,130.5000,147.19,1.000,1,31.88,34.50
68.00,running,131.9375,148.24,1.000,1,31.88,34.71
69.01,running,133.5000,149.30,1.000,1,31.94,34.50
70.00,running,135.3125,150.13,1.000,1,31.94,34.93
71.01,running,136.8125,150.53,1.000,1,31.94,34.93
72.01,running,138.2500,150.93,1.000,1,32.00,34.50
73.00,running,139.6250,151.33,1.000,1,31.94,34.93
74.04,running,141.1250,151.75,1.000,1,32.00,34.71
75.01,running,142.5000,152.13,1.000,1,32.00,34.50
76.07,running,144.6875,152.56,1.000,1,32.06,34.50
77.07,running,146.0000,152.96,1.000,1,32.06,34.71
78.08,running,147.3125,153.36,1.000,1,32.00,34.71
79.00,running,148.7500,153.73,0.951,1,32.06,34.71
80.00,running,150.3750,154.13,0.647,1,32.06,34.50
81.00,running,151.7500,154.53,0.438,1,32.13,34.50
82.00,running,153.0625,154.93,0.287,1,32.13,34.50
83.00,running,154.3125,155.33,0.170,0,32.13,34.08
84.02,running,155.1875,155.73,0.106,0,32.13,34.71
85.02,running,156.0000,156.14,0.166,0,32.19,34.50
86.01,running,156.5625,156.53,0.242,0,32.19,34.28
87.00,running,157.0000,156.93,0.295,1,32.19,34.93
88.02,running,157.4375,157.34,0.379,0,32.19,34.50
89.11,running,157.9375,157.77,0.360,0,32.25,34.71
90.00,running,158.0625,158.13,0.456,0,32.25,35.14
91.00,running,158.2500,158.53,0.546,1,32.31,34.71
92.01,running,158.6250,158.93,0.572,1,32.25,34.50
93.01,running,158.9375,159.33,0.588,0,32.31,34.93
94.00,running,159.3750,159.73,0.520,0,32.38,34.50
95.01,running,159.6250,160.13,0.579,1,32.44,35.35
96.00,running,159.8125,160.53,0.649,1,32.44,34.29
97.00,running,160.1875,160.93,0.658,1,32.44,34.71
98.00,running,160.5625,161.33,0.660,0,32.44,34.50
99.00,running,160.8125,161.73,0.684,1,32.44,35.14
100.01,running,161.1250,162.13,0.720,1,32.50,34.71
101.01,running,161.4375,162.53,0.756,1,32.50,34.71
102.01,running,161.8125,162.93,0.745,0,32.50,34.93
103.01,running,162.2500,163.33,0.725,1,32.50,33.65
104.02,running,162.7500,163.74,0.692,1,32.56,34.71
105.01,running,163.1875,164.13,0.689,1,32.63,34.93
106.03,running,163.6250,164.54,0.679,0,32.63,34.93
107.02,running,164.1875,164.94,0.601,1,32.69,34.50
108.04,running,164.4375,165.35,0.676,1,32.69,34.71
109.09,running,164.8125,165.76,0.707,1,32.69,34.50
110.00,running,165.2500,166.13,0.727,0,32.69,34.29
111.01,running,165.6250,166.53,0.717,0,32.75,34.93
112.00,running,165.8750,166.93,0.773,1,32.75,34.28
113.00,running,166.3125,167.33,0.783,1,32.81,34.50
114.01,running,166.6875,167.73,0.796,1,32.81,34.50
115.00,running,167.1875,168.13,0.744,0,32.81,34.71
116.01,running,167.6875,168.53,0.694,1,32.88,34.50
117.01,running,168.0000,168.93,0.739,1,32.94,34.71
118.00,running,168.3750,169.33,0.770,1,32.94,34.71
119.00,running,169.1875,169.73,0.632,0,33.00,34.50
120.00,running,169.5625,170.13,0.631,1,33.00,34.07
121.00,running,169.9375,170.53,0.675,1,33.00,34.71
122.03,running,170.3750,170.94,0.687,1,33.06,34.71
123.01,running,171.0000,171.33,0.590,0,33.06,34.71
124.00,running,171.6250,171.73,0.524,1,33.13,34.71
125.00,running,171.9375,172.13,0.566,1,33.19,34.93
126.00,running,172.4375,172.53,0.569,1,33.19,34.50
127.02,running,172.9375,172.93,0.552,0,33.19,34.28
128.02,running,173.3125,173.33,0.561,1,33.25,34.71
129.04,running,173.6250,173.75,0.621,1,33.25,34.72
130.00,running,174.1250,174.13,0.599,1,33.25,34.50
131.04,running,174.7500,174.55,0.520,0,33.38,34.07
132.02,running,175.0625,174.94,0.531,1,33.38,34.71
133.03,running,175.3750,175.34,0.603,1,33.38,34.71
134.10,running,175.8750,175.77,0.582,0,33.38,34.07
135.04,running,176.2500,176.15,0.570,0,33.38,34.50
136.00,running,176.6250,176.53,0.575,1,33.50,34.50
137.00,running,176.8125,176.93,0.673,1,33.50,34.50
138.01,running,177.1875,177.33,0.684,1,33.56,34.93
139.00,running,177.5625,177.73,0.690,0,33.56,34.71
140.01,running,177.8750,178.13,0.703,1,33.56,34.50
141.01,running,178.1250,178.53,0.752,1,33.63,35.14
142.01,running,178.5000,178.93,0.759,1,33.69,35.14
143.01,running,178.8750,179.33,0.760,0,33.69,34.50
144.01,running,179.3750,179.73,0.693,1,33.75,34.50
145.00,running,179.7500,180.24,0.982,1,33.81,34.50
146.01,running,180.3125,181.00,1.000,1,33.81,34.71
147.00,running,180.8750,181.75,1.000,0,33.88,34.71
148.01,running,181.2500,182.51,1.000,0,33.94,34.71
149.00,running,181.6250,183.26,1.000,1,33.88,34.71
150.00,running,182.0000,184.01,1.000,1,33.94,34.49
151.00,running,182.5000,184.77,1.000,1,34.00,34.29
152.01,running,183.0625,185.52,1.000,1,34.06,34.07
153.00,running,183.7500,186.28,1.000,1,34.13,34.50
154.00,running,184.3125,187.03,1.000,1,34.13,34.29
155.00,running,185.0625,187.78,1.000,1,34.13,35.35
156.01,running,186.0000,188.54,1.000,1,34.19,34.71
157.00,running,186.8125,189.29,1.000,1,34.25,34.71
158.01,running,187.6875,190.05,1.000,1,34.31,34.93
159.00,running,188.4375,190.80,1.000,1,34.31,35.14
160.00,running,189.3125,191.55,1.000,1,34.38,34.50
161.00,running,190.5625,192.31,1.000,1,34.38,34.50
162.01,running,191.5625,193.07,1.000,1,34.50,34.71
163.03,running,192.4375,193.84,1.000,1,34.50,34.50
164.04,running,193.3125,194.60,1.000,1,34.56,35.35
165.00,running,194.4375,195.32,0.987,1,34.56,34.93
166.00,running,195.3750,196.08,0.943,1,34.63,34.92
167.00,running,196.3125,196.83,0.898,1,34.63,34.71
168.05,running,197.1875,197.63,0.957,1,34.69,34.28
169.04,running,198.1875,198.37,0.881,1,34.75,34.93
170.01,running,199.0625,199.10,0.850,1,34.75,34.50
171.01,running,200.1250,199.86,0.757,1,34.75,34.93
172.06,running,201.3125,200.65,0.691,1,34.81,34.92
173.07,running,202.2500,201.41,0.655,1,34.94,34.93
174.01,running,203.1250,202.12,0.597,1,34.94,35.14
175.01,running,204.3750,202.87,0.466,1,35.00,34.50
176.01,running,205.2500,203.55,0.366,0,35.06,35.35
177.00,running,205.8750,204.20,0.421,0,35.06,35.14
178.03,running,206.2500,204.88,0.607,1,35.13,34.28
179.01,running,206.8750,205.52,0.675,1,35.19,34.71
180.02,running,207.3750,206.19,0.709,0,35.19,34.71
181.00,running,207.8125,206.84,0.760,0,35.25,34.29
182.00,running,208.0000,207.50,0.940,1,35.31,34.71
183.01,running,208.2500,208.17,1.000,1,35.38,34.93
184.00,running,208.6250,208.82,1.000,1,35.38,34.93
185.00,running,209.0625,209.48,1.000,1,35.44,34.50
186.00,running,209.5625,210.14,1.000,1,35.50,35.35
187.01,running,210.3125,210.80,1.000,1,35.50,34.50
188.01,running,210.9375,211.46,1.000,1,35.56,34.71
189.01,running,211.7500,212.12,1.000,1,35.63,34.07
190.01,running,212.5000,212.78,0.965,1,35.75,34.71
191.01,running,213.2500,213.44,0.929,1,35.69,34.71
192.00,running,214.1250,214.09,0.873,1,35.81,34.71
193.00,running,214.8125,214.75,0.881,1,35.88,34.71
194.00,running,215.6250,215.41,0.841,1,35.94,33.86
195.01,running,216.2500,216.08,0.863,1,35.94,34.50
196.01,running,217.1875,216.74,0.761,1,36.00,35.56
197.00,running,218.0000,217.39,0.786,1,36.06,34.50
198.03,running,218.7500,218.07,0.775,1,36.06,34.50
199.04,running,219.5625,218.71,0.680,1,36.19,34.50
200.03,running,220.3125,219.28,0.628,1,36.19,34.71
201.00,running,221.0625,219.83,0.576,0,36.25,35.14
202.00,running,221.8125,220.41,0.544,1,36.31,34.50
203.01,running,222.2500,220.98,0.625,1,36.38,34.93
204.01,running,222.6250,221.56,0.766,1,36.44,35.14
205.01,running,223.1875,222.13,0.776,0,36.44,34.93
206.01,running,223.5000,222.71,0.845,1,36.50,34.71
207.00,running,223.6250,223.28,0.979,1,36.56,34.93
208.00,running,223.8750,223.85,1.000,1,36.63,34.71
209.01,running,224.2500,224.43,1.000,1,36.69,35.14
210.01,running,224.6250,225.01,1.000,1,36.75,34.28
211.00,running,225.1250,225.57,1.000,1,36.81,34.71
212.01,running,225.6875,226.15,1.000,1,36.81,34.50
213.01,running,226.3125,226.73,1.000,1,36.94,34.93
214.00,running,226.8750,227.30,1.000,1,36.94,35.35
215.00,running,227.5625,227.87,1.000,1,37.06,34.29
216.00,running,228.1875,228.45,0.993,1,37.13,34.71
217.00,running,228.9375,229.02,0.914,1,37.19,34.71
218.01,running,229.5625,229.60,0.936,1,37.25,34.93
219.00,running,230.1875,230.17,0.937,1,37.25,34.71
220.01,running,230.8750,230.75,0.899,1,37.31,35.14
221.00,running,231.5625,231.32,0.868,1,37.44,34.50
222.00,running,232.5625,231.89,0.713,1,37.50,34.29
223.01,running,233.1875,232.47,0.711,1,37.50,34.50
224.01,running,234.0000,233.04,0.657,1,37.63,34.72
225.01,running,234.6250,233.62,0.656,1,37.63,34.71
226.02,running,235.3750,234.20,0.595,0,37.69,34.71
227.05,running,235.8125,234.79,0.697,1,37.75,34.93
228.04,running,236.0625,235.36,0.901,1,37.81,34.93
229.01,running,236.4375,235.92,0.958,1,37.94,34.93
230.01,running,236.6875,236.47,1.000,0,37.88,34.93
231.01,running,237.0625,236.98,1.000,0,37.94,34.92
232.01,running,237.3750,237.49,1.000,1,38.06,34.93
233.02,running,237.5000,238.01,1.000,1,38.13,34.71
234.01,running,237.8125,238.52,1.000,1,38.19,34.93
235.01,running,238.1250,239.03,1.000,1,38.25,34.93
236.01,running,238.6250,239.54,1.000,1,38.38,34.50
237.01,running,239.3125,240.05,1.000,1,38.38,34.93
238.01,running,239.8125,240.56,1.000,1,38.44,34.07
239.00,running,240.3750,241.07,1.000,1,38.50,35.14
240.01,running,241.0000,241.59,1.000,1,38.63,34.50
241.01,running,241.6250,242.10,1.000,1,38.63,34.71
242.00,running,242.2500,242.61,1.000,1,38.75,35.35
243.00,running,242.8125,243.12,1.000,1,38.75,34.50
244.01,running,243.4375,243.63,0.000,1,38.88,34.93
245.00,running,244.0625,244.14,0.000,1,38.94,34.29
246.01,running,244.8125,244.66,0.000,1,39.00,34.93
247.01,running,245.4375,244.75,0.000,1,39.06,34.71
248.00,running,246.1250,243.98,0.000,0,39.19,34.71
249.00,running,246.5000,243.21,0.000,0,39.19,34.29
250.01,running,246.6875,242.43,0.000,0,39.25,35.35
251.03,running,246.6875,241.65,0.000,0,39.31,34.71
252.05,running,246.3125,240.86,0.000,0,39.38,35.14
253.06,running,246.0625,240.08,0.000,0,39.50,34.71
254.00,running,245.6875,239.36,0.000,0,39.56,35.35
255.01,running,245.2500,238.58,0.000,0,39.63,34.71
256.00,running,244.6250,237.82,0.000,0,39.69,35.14
257.00,running,244.0625,237.05,0.000,0,39.69,34.50
258.00,running,243.5625,236.28,0.000,0,39.81,34.50
259.01,running,242.9375,235.50,0.000,0,39.88,35.14
260.00,running,242.3125,234.74,0.000,0,39.94,34.71
261.01,running,241.5625,233.96,0.000,0,40.00,34.71
262.00,running,240.9375,233.20,0.000,0,40.06,34.71
263.01,running,240.3125,232.42,0.000,0,40.13,34.92
264.00,running,239.6875,231.65,0.000,0,40.25,34.93
265.01,running,238.9375,230.88,0.000,0,40.25,34.93
266.01,running,238.0625,230.11,0.000,0,40.31,34.29
267.00,running,237.4375,229.35,0.000,0,40.44,34.93
268.00,running,236.7500,228.57,0.000,0,40.50,35.14
269.00,running,236.0625,227.80,0.000,0,40.56,34.71
270.00,running,235.3125,227.03,0.000,0,40.63,34.71
271.01,running,234.5625,226.26,0.000,0,40.69,34.71
272.00,running,233.7500,225.49,0.000,0,40.81,34.71
273.00,running,232.9375,224.79,0.000,0,40.88,34.71
274.01,running,231.9375,224.11,0.000,0,40.88,34.71
275.00,running,231.3750,223.45,0.000,0,41.00,34.71
276.00,running,230.6250,222.79,0.000,0,41.06,34.92
277.00,running,230.0000,222.12,0.000,0,41.13,34.50
278.01,running,229.2500,221.45,0.000,0,41.19,34.50
279.01,running,228.5000,220.78,0.000,0,41.31,34.50
280.01,running,227.7500,220.11,0.000,0,41.31,34.28
281.03,running,227.1250,219.43,0.000,0,41.44,34.71
282.01,running,226.4375,218.78,0.000,0,41.44,35.14
283.01,running,225.6875,218.11,0.000,0,41.50,34.92
284.00,running,225.1250,217.45,0.000,0,41.63,34.71
285.01,running,224.3125,216.78,0.000,0,41.69,34.93
286.01,running,223.6250,216.11,0.000,0,41.75,34.29
287.03,running,223.0000,215.44,0.000,0,41.88,34.49
288.04,running,222.3125,214.76,0.000,0,41.88,34.50
289.05,running,221.3125,214.08,0.000,0,41.94,34.93
290.04,running,220.6875,213.42,0.000,0,42.00,34.71
291.09,running,220.0625,212.73,0.000,0,42.06,34.50
292.02,running,219.4375,212.11,0.000,0,42.13,34.93
293.02,running,218.6875,211.52,0.000,0,42.25,34.93
294.00,running,218.1250,210.96,0.000,0,42.31,34.93
295.01,running,217.5000,210.38,0.000,0,42.38,34.71
296.00,running,216.9375,209.82,0.000,0,42.50,34.93
297.00,running,216.2500,209.24,0.000,0,42.44,34.71
298.00,running,215.6875,208.67,0.000,0,42.56,34.71
299.01,running,214.8125,208.09,0.000,0,42.56,33.85
300.03,running,214.3125,207.51,0.000,0,42.69,34.50
301.01,running,213.7500,206.95,0.000,0,42.75,34.50
302.00,running,213.1875,206.38,0.000,0,42.81,34.71
303.01,running,212.6250,205.80,0.000,0,42.88,34.71
304.01,running,211.8750,205.23,0.000,0,42.94,34.93
305.03,running,211.3750,204.65,0.000,0,43.06,34.71
306.00,running,210.8125,204.09,0.000,0,43.13,34.71
