# duty is the COMMANDED duty, which the run log does not carry;
# it is the input signal the plant identification needs.
elapsed_s,state,temp_c,target_c,duty,relay,cold_c,cpu_c
0.00,running,28.4375,25.00,0.000,0,32.06,36.20
1.52,running,28.5000,28.80,0.722,0,32.13,35.35
2.50,running,28.4375,29.03,0.798,0,32.06,34.92
3.50,running,28.5625,29.27,0.766,0,32.13,35.14
4.50,running,28.6875,29.50,0.741,1,32.13,35.14
5.50,running,28.6250,29.78,1.000,1,32.06,35.56
6.51,running,28.6875,30.20,1.000,1,32.06,34.92
7.49,running,28.7500,30.62,1.000,0,32.06,34.93
8.50,running,28.7500,31.05,1.000,1,32.00,34.71
9.50,running,28.9375,31.47,1.000,1,32.06,34.92
10.50,running,29.0000,31.89,1.000,1,32.00,34.71
11.50,running,29.1250,32.31,1.000,1,32.06,34.71
12.50,running,29.1875,32.74,1.000,1,32.06,34.92
13.49,running,29.4375,33.25,1.000,1,32.00,34.93
14.50,running,29.6250,33.93,1.000,1,32.00,34.92
15.50,running,29.9375,34.62,1.000,1,32.00,35.14
16.50,running,30.2500,35.30,1.000,1,32.00,35.14
17.50,running,30.6250,35.98,1.000,1,32.00,34.29
18.50,running,31.1250,36.66,1.000,1,31.94,35.35
19.49,running,31.6875,37.33,1.000,1,32.00,35.14
20.50,running,32.3125,38.06,1.000,1,32.00,35.35
21.56,running,32.9375,39.04,1.000,1,32.00,34.92
22.54,running,33.6250,39.94,1.000,1,32.00,35.14
23.49,running,34.3125,40.82,1.000,1,31.94,34.71
24.50,running,35.3750,41.75,1.000,1,32.00,35.14
25.49,running,36.1250,42.66,1.000,1,31.94,34.71
26.50,running,37.0000,43.59,1.000,1,31.94,34.92
27.49,running,38.2500,44.50,1.000,1,31.94,34.92
28.50,running,39.5625,45.44,1.000,1,31.88,35.35
29.50,running,40.7500,46.40,1.000,1,31.88,34.71
30.50,running,41.8750,47.52,1.000,1,31.88,35.14
31.50,running,43.1250,48.63,1.000,1,31.88,34.92
32.50,running,44.3750,49.74,1.000,1,31.88,35.14
33.50,running,45.6875,50.84,1.000,1,31.81,35.14
34.50,running,47.5625,51.96,1.000,1,31.88,35.57
35.49,running,48.9375,53.06,1.000,1,31.88,34.93
36.51,running,50.4375,54.19,1.000,1,31.81,34.71
37.50,running,52.0000,55.29,0.971,1,31.88,35.14
38.49,running,53.4375,56.39,0.878,1,31.81,35.14
39.49,running,55.0000,57.50,0.794,1,31.81,34.71
40.49,running,56.6875,58.61,0.654,1,31.81,35.14
41.49,running,59.0625,59.78,0.310,1,31.81,34.92
42.50,running,60.7500,61.03,0.265,1,31.81,34.93
43.49,running,62.3125,62.26,0.184,1,31.75,34.71
44.50,running,64.4375,63.51,0.000,0,31.81,34.93
45.49,running,65.9375,64.74,0.000,0,31.75,34.92
46.49,running,67.1875,65.98,0.000,0,31.81,34.49
47.49,running,68.3125,67.21,0.153,0,31.81,34.71
48.49,running,69.1875,68.45,0.329,0,31.75,34.92
49.50,running,70.1875,69.70,0.420,0,31.81,35.35
50.50,running,71.1250,70.94,0.515,1,31.81,34.71
51.51,running,72.2500,72.19,0.539,0,31.75,35.35
