# duty is the COMMANDED duty, which the run log does not carry;
# it is the input signal the plant identification needs.
elapsed_s,state,temp_c,target_c,duty,relay,cold_c,cpu_c
0.00,running,30.3125,25.00,0.000,0,28.38,35.35
1.54,running,30.3125,30.69,0.585,0,28.38,34.71
2.53,running,30.3125,30.94,0.605,0,28.38,34.50
3.55,running,30.3125,31.19,0.652,0,28.38,34.92
4.53,running,30.3125,31.44,0.705,1,28.38,34.92
5.53,running,30.3125,31.69,0.750,1,28.38,34.71
6.53,running,30.2500,31.93,0.821,1,28.31,34.50
7.54,running,30.3125,32.18,0.845,0,28.38,34.71
8.54,running,30.1875,32.43,0.946,1,28.38,34.93
9.53,running,30.3125,32.68,0.937,1,28.38,34.50
10.53,running,30.3750,32.93,0.977,1,28.38,34.71
11.53,running,30.4375,33.18,0.987,1,28.38,34.50
12.53,running,30.3750,33.57,1.000,1,28.31,34.92
13.53,running,30.5000,33.99,1.000,1,28.31,35.35
14.54,running,30.6875,34.41,1.000,1,28.38,34.71
15.53,running,30.8125,34.82,1.000,1,28.31,34.50
16.54,running,31.0000,35.24,1.000,1,28.31,34.93
17.53,running,31.2500,35.65,1.000,1,28.31,34.71
18.53,running,31.7500,36.06,1.000,1,28.31,34.29
19.53,running,32.1250,36.48,1.000,1,28.31,34.71
20.53,running,32.5000,36.89,1.000,1,28.31,34.93
21.53,running,33.0625,37.30,1.000,1,28.31,35.13
22.63,running,33.6250,37.76,1.000,1,28.31,34.71
23.54,running,34.3750,38.14,1.000,1,28.31,34.50
24.54,running,35.0625,38.56,1.000,1,28.31,34.92
25.60,running,35.8125,39.06,1.000,1,28.31,35.14
26.54,running,36.6250,39.56,1.000,1,28.31,34.71
27.53,running,37.5625,40.11,0.890,1,28.31,34.93
28.53,running,38.5000,40.65,0.765,1,28.31,34.71
29.55,running,39.7500,41.20,0.541,1,28.25,34.92
30.54,running,40.8125,41.74,0.443,1,28.31,35.14
31.54,running,42.0000,42.28,0.263,0,28.38,35.14
32.53,running,43.3750,42.83,0.008,0,28.31,34.92
33.53,running,44.5625,43.37,0.000,0,28.31,34.71
34.53,running,45.3125,43.91,0.000,0,28.25,34.71
35.53,running,46.0000,44.45,0.000,0,28.25,34.28
36.54,running,46.8125,45.00,0.000,0,28.31,34.71
37.53,running,47.3125,45.54,0.000,0,28.25,34.93
38.53,running,48.0000,46.09,0.000,0,28.25,34.50
39.53,running,48.6875,46.63,0.000,0,28.25,34.50
40.54,running,49.3125,47.18,0.000,0,28.25,34.93
41.54,running,49.8750,47.76,0.000,0,28.25,35.14
42.53,running,50.5000,48.41,0.000,0,28.25,34.50
43.55,running,51.0000,49.07,0.000,0,28.25,34.71
44.54,running,51.5625,49.72,0.000,0,28.25,35.14
45.54,running,52.2500,50.37,0.000,0,28.25,35.14
46.53,running,52.5625,51.02,0.043,0,28.19,35.14
47.53,running,53.1250,51.67,0.053,0,28.25,34.29
48.56,running,53.5000,52.33,0.146,0,28.19,34.71
49.53,running,54.0000,52.97,0.153,0,28.25,34.49
50.55,running,54.3750,53.63,0.223,0,28.25,34.92
51.56,running,54.8125,54.29,0.303,0,28.25,34.28
52.56,running,55.1875,54.94,0.370,0,28.25,34.28
53.57,running,55.4375,55.60,0.469,0,28.25,34.93
54.53,running,55.7500,56.22,0.550,1,28.25,35.14
55.53,running,56.1250,56.87,0.612,1,28.25,34.93
56.53,running,56.5000,57.52,0.653,0,28.25,34.93
57.53,running,56.8125,58.18,0.734,0,28.25,35.14
58.54,running,57.3125,58.84,0.780,1,28.25,34.92
59.54,running,57.7500,59.48,0.798,1,28.31,34.71
60.54,running,58.1250,60.13,0.853,1,28.25,34.93
61.56,running,58.6250,60.80,0.874,0,28.25,34.08
62.53,running,59.3125,61.43,0.845,1,28.31,35.78
63.53,running,59.8125,62.09,0.867,1,28.25,34.29
64.53,running,60.3750,62.74,0.881,1,28.25,35.56
65.53,running,61.0000,63.44,0.942,1,28.25,34.93
66.53,running,61.8750,64.16,0.864,1,28.31,35.14
