# from run-0016-console.txt; duty is the COMMANDED duty, which the run log does not carry
elapsed_s,state,temp_c,target_c,duty,relay,cold_c,cpu_c
0.00,precharge,59.3750,25.00,0.000,0,33.44,34.50
1.01,precharge,59.3750,25.00,1.000,1,33.50,33.87
2.00,precharge,59.3750,25.00,1.000,1,33.50,34.07
3.00,precharge,59.2500,25.00,1.000,1,33.44,34.08
4.00,precharge,59.1250,25.00,1.000,1,33.38,34.29
5.00,precharge,59.1250,25.00,1.000,1,33.38,34.08
6.03,precharge,59.1250,25.00,1.000,1,33.31,33.86
7.01,precharge,59.1875,25.00,1.000,1,33.31,34.07
8.01,precharge,59.2500,25.00,1.000,1,33.31,34.08
9.01,precharge,59.3750,25.00,1.000,1,33.25,34.29
10.00,precharge,59.5625,25.00,1.000,1,33.25,34.08
11.00,precharge,59.8125,25.00,1.000,1,33.25,33.65
12.00,precharge,60.1250,25.00,1.000,1,33.19,34.29
13.01,precharge,60.3750,25.00,1.000,1,33.13,33.86
14.01,precharge,61.0000,25.00,1.000,1,33.13,33.86
15.01,precharge,61.5000,25.00,1.000,1,33.13,34.29
16.02,precharge,62.0000,25.00,1.000,1,33.13,34.08
17.00,precharge,62.5000,25.00,1.000,1,33.06,34.29
18.00,precharge,63.0000,25.00,1.000,1,33.00,34.08
19.01,precharge,63.8750,25.00,1.000,1,33.00,33.86
20.01,precharge,64.6875,25.00,1.000,1,33.00,34.29
21.00,precharge,65.4375,25.00,1.000,1,32.94,33.86
22.02,precharge,66.3125,25.00,1.000,1,32.94,34.29
23.01,precharge,67.1875,25.00,1.000,1,32.94,34.08
24.01,precharge,68.1250,25.00,1.000,1,32.88,34.29
25.03,precharge,69.4375,25.00,1.000,1,32.88,33.87
26.00,precharge,70.4375,25.00,1.000,1,32.81,34.08
27.00,precharge,71.6250,25.00,1.000,1,32.88,34.08
28.00,precharge,72.7500,25.00,1.000,1,32.81,34.71
29.01,precharge,74.6250,25.00,1.000,1,32.81,34.08
30.01,precharge,75.9375,25.00,1.000,1,32.81,34.50
31.00,precharge,77.1875,25.00,1.000,1,32.75,34.50
32.01,precharge,78.5000,25.00,1.000,1,32.75,34.08
33.04,precharge,79.8750,25.00,1.000,1,32.75,34.29
34.56,running,82.0625,82.35,0.853,0,32.69,34.29
35.56,running,83.1250,83.78,0.301,0,32.69,33.86
36.56,running,83.9375,85.19,0.536,0,32.63,34.50
37.56,running,85.0000,86.61,0.635,1,32.69,34.51
38.56,running,85.8125,88.03,0.867,1,32.63,34.07
39.55,running,86.6875,89.44,0.985,1,32.63,34.29
40.55,running,87.7500,90.85,1.000,0,32.63,34.29
41.55,running,88.7500,92.27,1.000,1,32.56,34.29
42.57,running,89.6250,93.71,1.000,1,32.50,33.65
43.59,running,91.0000,95.16,1.000,1,32.56,34.07
44.63,running,92.0000,96.64,1.000,1,32.50,33.65
45.56,running,93.1875,97.95,1.000,1,32.50,34.08
46.56,running,94.3750,99.37,1.000,1,32.50,34.29
47.55,running,95.6250,100.77,1.000,1,32.44,34.29
48.58,running,97.6250,102.24,1.000,1,32.44,33.65
49.56,running,98.9375,103.62,1.000,1,32.38,34.50
