# from run-0017-console.txt; duty is the COMMANDED duty, which the run log does not carry
elapsed_s,state,temp_c,target_c,duty,relay,cold_c,cpu_c
0.00,precharge,58.7500,25.00,0.000,0,29.94,34.29
0.99,precharge,58.6250,25.00,1.000,1,29.88,34.08
1.99,precharge,58.6875,25.00,1.000,1,29.94,33.87
2.98,precharge,58.6250,25.00,1.000,1,29.94,34.29
3.98,precharge,58.5625,25.00,1.000,1,29.94,34.50
4.98,precharge,58.4375,25.00,1.000,1,29.88,33.87
5.98,precharge,58.5000,25.00,1.000,1,29.88,34.50
6.98,precharge,58.4375,25.00,1.000,1,29.81,34.08
7.98,precharge,58.5625,25.00,1.000,1,29.88,34.08
8.99,precharge,58.7500,25.00,1.000,1,29.88,34.29
9.98,precharge,58.8750,25.00,1.000,1,29.81,33.87
10.99,precharge,59.1875,25.00,1.000,1,29.88,34.07
12.00,precharge,59.3750,25.00,1.000,1,29.81,34.71
12.98,precharge,59.7500,25.00,1.000,1,29.81,34.29
13.98,precharge,60.2500,25.00,1.000,1,29.81,34.71
14.98,precharge,60.6875,25.00,1.000,1,29.81,33.86
15.98,precharge,61.1875,25.00,1.000,1,29.75,34.29
16.98,precharge,61.7500,25.00,1.000,1,29.69,34.50
17.98,precharge,62.3750,25.00,1.000,1,29.75,34.71
18.98,precharge,63.0000,25.00,1.000,1,29.75,34.50
19.98,precharge,63.7500,25.00,1.000,1,29.75,34.29
20.98,precharge,64.7500,25.00,1.000,1,29.75,34.72
21.99,precharge,65.5000,25.00,1.000,1,29.69,34.08
22.99,precharge,66.6250,25.00,1.000,1,29.69,34.71
23.98,precharge,67.5625,25.00,1.000,1,29.69,34.50
24.98,precharge,68.8125,25.00,1.000,1,29.69,33.86
26.00,precharge,69.8125,25.00,1.000,1,29.69,34.07
26.98,running,71.0000,25.00,1.000,0,29.69,35.35
28.61,running,72.6875,73.02,0.765,0,29.63,34.28
29.61,running,73.5625,74.26,0.330,0,29.69,34.50
30.62,running,74.2500,75.50,0.519,0,29.69,34.08
31.61,running,75.3125,76.73,0.572,1,29.69,33.86
32.62,running,75.5000,77.99,0.940,1,29.63,33.86
33.62,running,76.5625,79.24,0.922,0,29.69,34.08
34.62,running,77.2500,80.49,1.000,0,29.63,34.50
35.62,running,78.0625,81.76,1.000,1,29.63,34.29
36.61,running,78.6875,83.01,1.000,1,29.56,34.50
37.62,running,79.5000,84.28,1.000,1,29.69,34.50
38.61,running,80.9375,85.53,1.000,1,29.63,34.93
39.61,running,81.9375,86.79,1.000,1,29.63,33.64
40.63,running,82.9375,88.07,1.000,1,29.63,34.08
41.61,running,84.1250,89.31,1.000,1,29.63,34.29
42.62,running,85.3125,90.20,0.951,1,29.63,34.29
43.61,running,86.4375,90.65,0.848,1,29.56,33.66
44.62,running,88.0625,91.09,0.574,1,29.56,34.50
45.61,running,89.4375,91.53,0.304,1,29.56,34.29
46.62,running,90.7500,91.98,0.152,1,29.56,34.50
47.64,running,92.2500,92.44,0.000,0,29.56,34.50
48.61,running,93.5625,92.87,0.000,0,29.56,34.08
49.67,running,94.8125,93.34,0.000,0,29.50,34.93
50.67,running,96.2500,93.78,0.000,0,29.56,33.65
51.69,running,97.0000,94.24,0.000,0,29.56,34.29
52.62,running,97.8125,94.65,0.000,0,29.56,33.86
53.62,running,98.3750,95.09,0.000,0,29.56,34.07
54.61,running,99.0000,95.54,0.000,0,29.50,33.86
55.61,running,99.7500,95.98,0.000,0,29.56,34.08
56.62,running,100.3125,96.43,0.000,0,29.56,34.50
57.61,running,100.8125,96.87,0.000,0,29.56,33.87
58.62,running,101.3125,97.32,0.000,0,29.56,34.08
59.62,running,101.7500,97.76,0.000,0,29.56,33.86
60.62,running,102.0625,98.21,0.000,0,29.50,34.29
61.62,running,102.5000,98.65,0.000,0,29.50,33.86
62.62,running,102.9375,99.09,0.000,0,29.56,33.87
63.61,running,103.1875,99.53,0.000,0,29.56,34.29
64.62,running,103.4375,99.98,0.000,0,29.56,34.28
65.61,running,103.6875,100.42,0.000,0,29.63,33.87
66.62,running,104.0000,100.87,0.000,0,29.56,34.29
67.62,running,104.1250,101.32,0.000,0,29.50,33.87
68.61,running,104.3125,101.76,0.000,0,29.56,34.50
69.62,running,104.4375,102.21,0.000,0,29.56,33.65
70.62,running,104.6250,102.65,0.000,0,29.63,33.87
71.61,running,104.6875,103.09,0.000,0,29.56,33.65
72.61,running,104.8125,103.53,0.000,0,29.56,34.50
73.63,running,104.8750,103.99,0.055,0,29.56,34.08
74.61,running,104.9375,104.42,0.139,0,29.56,34.29
75.62,running,105.0000,104.87,0.242,0,29.56,34.51
76.63,running,105.0625,105.32,0.320,1,29.56,34.29
77.63,running,105.1250,105.77,0.417,0,29.56,34.72
78.64,running,105.1250,106.21,0.521,0,29.56,34.08
79.67,running,105.1875,106.67,0.594,0,29.56,34.08
80.62,running,105.2500,107.10,0.704,1,29.56,34.29
81.63,running,105.3125,107.54,0.789,1,29.56,34.50
82.62,running,105.3125,107.98,0.907,1,29.56,34.08
83.61,running,105.5000,108.42,0.954,0,29.56,34.93
84.63,running,105.6875,108.88,1.000,1,29.56,34.29
85.62,running,105.8750,109.31,1.000,1,29.56,33.87
86.61,running,106.1250,109.76,1.000,1,29.56,34.29
87.63,running,106.5000,110.21,1.000,1,29.56,34.08
88.62,running,106.8750,110.65,1.000,1,29.56,34.50
89.62,running,107.3125,111.09,1.000,1,29.56,34.29
90.64,running,108.3125,111.55,0.868,1,29.63,34.51
91.62,running,108.9375,111.98,0.805,1,29.63,34.08
92.61,running,109.8125,112.42,0.645,1,29.69,34.29
93.62,running,110.5000,112.87,0.653,1,29.63,34.29
94.61,running,111.3750,113.31,0.528,1,29.69,34.08
95.62,running,112.3125,113.76,0.393,1,29.69,34.29
96.62,running,113.3750,114.20,0.224,0,29.63,34.29
97.64,running,114.2500,114.66,0.175,1,29.69,34.29
98.64,running,115.0000,115.10,0.144,0,29.69,34.28
99.62,running,115.6250,115.54,0.148,0,29.69,33.64
100.63,running,116.1875,115.99,0.161,0,29.69,34.08
101.67,running,116.6875,116.45,0.200,0,29.69,34.29
102.63,running,117.3125,116.88,0.151,0,29.75,34.08
103.66,running,117.6875,117.34,0.228,0,29.69,34.71
104.68,running,118.0000,117.79,0.284,0,29.75,34.29
105.61,running,118.4375,118.20,0.291,1,29.69,33.65
106.62,running,118.6250,118.65,0.380,1,29.75,34.50
107.61,running,119.0625,119.09,0.359,0,29.75,34.08
108.62,running,119.3750,119.54,0.401,0,29.75,34.08
109.62,running,119.6875,119.98,0.426,1,29.81,34.08
110.62,running,120.0625,120.43,0.452,1,29.81,33.86
111.62,running,120.4375,120.87,0.459,0,29.81,34.30
112.62,running,120.6875,121.32,0.520,0,29.75,34.29
113.61,running,121.1250,121.76,0.514,1,29.81,34.07
114.62,running,121.5000,122.21,0.554,1,29.81,33.43
115.62,running,121.8750,122.65,0.551,1,29.88,34.71
116.61,running,122.3125,123.09,0.539,0,29.81,33.65
117.62,running,122.7500,123.54,0.535,1,29.81,34.08
118.62,running,123.3125,123.98,0.483,1,29.88,34.29
119.62,running,123.7500,124.43,0.480,1,29.88,34.29
120.62,running,124.1875,124.87,0.471,0,29.88,34.50
121.62,running,124.5625,125.31,0.547,1,29.88,34.07
122.61,running,125.0000,125.76,0.551,1,29.88,34.29
123.61,running,125.5625,126.20,0.508,1,29.94,34.08
124.62,running,126.0625,126.65,0.480,0,29.94,34.08
125.62,running,126.6875,127.09,0.443,1,29.94,34.50
126.64,running,127.0625,127.55,0.488,1,29.94,34.08
127.62,running,127.6250,127.98,0.461,0,30.00,34.50
128.62,running,128.1250,128.43,0.438,0,30.00,34.07
129.67,running,128.8125,128.89,0.341,1,30.06,33.86
130.63,running,128.9375,129.32,0.497,1,30.06,34.29
131.64,running,129.6250,129.77,0.403,0,30.00,34.29
132.64,running,130.1250,130.13,0.295,0,30.06,33.86
133.66,running,130.3750,130.40,0.319,0,30.06,34.08
134.62,running,130.8750,130.66,0.259,1,30.13,33.86
135.62,running,131.1875,130.92,0.281,0,30.13,34.29
136.64,running,131.6250,131.19,0.212,0,30.13,34.07
137.62,running,131.8750,131.46,0.242,0,30.13,33.44
138.62,running,132.2500,131.72,0.221,1,30.19,34.50
139.64,running,132.5000,131.99,0.256,0,30.19,34.72
140.62,running,132.8125,132.26,0.231,0,30.19,34.29
141.61,running,133.0000,132.52,0.279,0,30.19,34.50
142.63,running,133.2500,132.79,0.283,1,30.25,34.07
143.61,running,133.5000,133.05,0.295,0,30.25,34.29
144.61,running,133.7500,133.32,0.298,0,30.25,34.50
145.62,running,134.0000,133.59,0.290,0,30.25,33.86
146.62,running,134.0625,133.86,0.367,1,30.31,34.29
147.62,running,134.4375,134.12,0.310,0,30.38,33.65
148.63,running,134.6250,134.39,0.341,0,30.31,34.08
149.62,running,134.6875,134.66,0.394,0,30.31,34.29
150.64,running,134.7500,134.93,0.490,1,30.38,34.50
151.61,running,135.0625,135.19,0.462,1,30.38,34.29
152.62,running,135.3125,135.46,0.439,0,30.44,33.86
153.61,running,135.4375,135.72,0.457,0,30.44,34.07
154.63,running,135.8125,135.99,0.427,1,30.50,34.29
155.68,running,135.8750,136.27,0.502,1,30.50,34.29
156.61,running,136.1250,136.52,0.502,0,30.50,33.86
157.62,running,136.4375,136.79,0.493,0,30.56,34.93
158.61,running,136.5625,137.05,0.513,1,30.50,34.08
159.62,running,136.9375,137.32,0.485,1,30.56,34.50
160.62,running,137.1875,137.59,0.492,0,30.56,33.87
161.62,running,137.5000,137.86,0.462,0,30.63,34.51
162.62,running,137.6875,138.42,0.945,1,30.63,34.08
163.62,running,137.9375,139.31,1.000,1,30.69,34.51
164.62,running,138.3750,140.21,1.000,1,30.69,33.87
165.62,running,138.6875,141.11,1.000,1,30.69,34.08
166.62,running,139.1875,142.02,1.000,1,30.75,34.50
167.62,running,139.7500,142.92,1.000,1,30.75,33.87
168.64,running,140.3125,143.84,1.000,1,30.69,34.29
169.61,running,141.0000,144.71,1.000,1,30.75,34.07
170.62,running,141.8750,145.61,1.000,1,30.81,34.08
171.62,running,142.8125,146.52,1.000,1,30.81,33.44
172.62,running,143.6250,147.42,1.000,1,30.81,34.08
173.64,running,144.7500,148.34,1.000,1,30.81,34.08
174.62,running,145.7500,149.22,1.000,1,30.88,34.08
175.62,running,146.9375,150.11,1.000,1,30.88,34.50
176.62,running,148.0000,151.02,1.000,1,30.94,34.29
177.62,running,149.0000,151.92,1.000,1,30.94,33.87
178.62,running,150.0625,152.82,1.000,1,30.94,34.29
179.61,running,151.1250,153.71,1.000,1,31.00,34.08
180.63,running,152.2500,154.62,1.000,1,31.00,34.07
181.62,running,153.2500,155.52,1.000,1,31.00,33.65
182.66,running,154.6875,156.45,1.000,1,31.06,34.29
183.68,running,156.0625,157.37,0.950,1,31.06,34.29
184.61,running,157.0625,158.21,0.876,1,31.13,34.50
185.61,running,158.1875,159.11,0.880,1,31.19,34.08
186.62,running,159.8750,160.01,0.659,1,31.19,34.08
187.61,running,161.0000,160.91,0.605,1,31.19,34.29
188.61,running,162.2500,161.81,0.000,1,31.25,34.08
189.62,running,163.3750,162.72,0.000,1,31.25,34.29
190.64,running,164.6250,163.63,0.000,0,31.31,33.87
191.61,running,165.5625,164.51,0.000,0,31.31,34.08
192.62,running,166.2500,164.59,0.000,0,31.31,33.65
193.62,running,167.0625,163.69,0.000,0,31.38,34.08
194.62,running,167.3750,162.79,0.000,0,31.38,34.50
195.61,running,167.6250,161.89,0.000,0,31.38,33.87
196.61,running,167.8750,160.99,0.000,0,31.44,34.72
197.61,running,168.0000,160.09,0.000,0,31.44,33.87
198.61,running,168.1250,159.19,0.000,0,31.50,34.08
199.61,running,168.1250,158.29,0.000,0,31.50,34.08
200.62,running,168.1250,157.38,0.000,0,31.50,34.29
201.62,running,168.0625,156.48,0.000,0,31.56,34.08
202.62,running,168.0000,155.59,0.000,0,31.56,33.87
203.62,running,167.7500,154.69,0.000,0,31.56,34.29
204.63,running,167.6875,153.77,0.000,0,31.69,34.08
205.61,running,167.3750,152.89,0.000,0,31.63,34.29
206.61,running,167.3125,151.99,0.000,0,31.75,34.29
207.63,running,167.0000,151.08,0.000,0,31.69,34.50
208.64,running,166.7500,150.17,0.000,0,31.75,34.50
209.68,running,166.4375,149.23,0.000,0,31.75,34.51
210.67,running,166.1250,148.34,0.000,0,31.81,34.50
211.61,running,165.8750,147.49,0.000,0,31.88,34.29
212.61,running,165.5625,146.59,0.000,0,31.88,33.44
213.61,running,165.2500,145.69,0.000,0,31.94,34.71
214.61,running,164.7500,144.79,0.000,0,32.00,33.86
215.61,running,164.3750,143.89,0.000,0,32.00,33.65
216.61,running,164.0000,142.99,0.000,0,32.06,34.29
217.61,running,163.6250,142.09,0.000,0,32.06,34.29
218.61,running,163.3125,141.19,0.000,0,32.13,33.86
