# from run-0018-console.txt; duty is the COMMANDED duty, which the run log does not carry
elapsed_s,state,temp_c,target_c,duty,relay,cold_c,cpu_c
0.00,precharge,31.6875,25.00,0.000,0,25.19,32.80
1.00,precharge,31.6875,25.00,1.000,1,25.25,33.02
1.98,precharge,31.6875,25.00,1.000,1,25.25,32.80
3.00,precharge,31.6250,25.00,1.000,1,25.19,32.81
3.98,precharge,31.6250,25.00,1.000,1,25.19,32.17
4.98,precharge,31.6875,25.00,1.000,1,25.25,33.01
5.98,precharge,31.6875,25.00,1.000,1,25.19,33.23
6.98,precharge,31.6875,25.00,1.000,1,25.19,32.81
7.99,precharge,31.8750,25.00,1.000,1,25.25,32.37
8.98,precharge,32.0000,25.00,1.000,1,25.25,33.02
10.00,precharge,32.0625,25.00,1.000,1,25.19,33.23
10.98,precharge,32.3125,25.00,1.000,1,25.19,32.80
11.98,precharge,32.5625,25.00,1.000,1,25.19,32.81
13.00,precharge,33.0625,25.00,1.000,1,25.25,32.80
13.99,precharge,33.4375,25.00,1.000,1,25.25,33.01
15.00,precharge,33.7500,25.00,1.000,1,25.19,32.81
15.99,running,34.2500,25.00,1.000,0,25.19,33.44
17.65,running,35.1250,35.54,1.000,0,25.19,33.23
18.64,running,35.4375,36.31,1.000,0,25.19,32.80
19.65,running,35.8125,37.09,1.000,0,25.19,32.80
20.65,running,36.2500,37.87,1.000,1,25.25,33.02
21.64,running,36.5625,38.92,1.000,1,25.25,33.23
22.67,running,37.0000,40.01,1.000,1,25.25,32.58
23.65,running,37.5000,41.06,1.000,1,25.19,32.81
24.64,running,38.1250,42.11,1.000,1,25.19,32.59
25.64,running,39.3125,43.18,1.000,1,25.25,33.23
26.64,running,40.0625,44.24,1.000,1,25.19,33.23
27.67,running,41.0000,45.34,1.000,1,25.25,32.80
28.64,running,41.8750,46.43,1.000,1,25.19,32.59
29.64,running,42.8750,47.69,1.000,1,25.19,32.59
30.65,running,43.9375,48.99,1.000,1,25.19,33.02
31.64,running,45.0625,50.25,1.000,1,25.19,33.02
32.64,running,46.5000,51.51,1.000,1,25.19,32.80
33.65,running,47.8125,52.80,1.000,1,25.25,33.01
34.65,running,49.1250,54.07,1.000,1,25.25,32.80
35.64,running,50.5000,55.33,1.000,1,25.19,32.59
36.69,running,52.2500,56.66,1.000,1,25.25,33.02
37.69,running,54.1250,57.94,1.000,1,25.19,33.02
38.69,running,55.6875,59.21,1.000,1,25.25,33.01
39.68,running,57.1875,60.63,1.000,1,25.25,33.23
40.64,running,58.7500,62.00,1.000,1,25.25,32.59
41.66,running,60.3125,63.46,1.000,1,25.25,33.44
42.64,running,61.9375,64.87,1.000,1,25.25,33.01
43.65,running,63.5625,66.31,1.000,1,25.31,32.79
44.64,running,65.6875,67.74,0.763,1,25.31,32.80
45.65,running,67.1875,69.18,0.977,1,25.25,33.23
46.64,running,68.9375,70.59,0.649,1,25.25,33.01
47.64,running,70.6250,72.03,0.714,1,25.25,33.23
48.65,running,72.3125,73.48,0.584,1,25.31,32.80
49.64,running,74.9375,74.90,0.159,1,25.31,32.80
50.64,running,76.6875,76.32,0.143,0,25.31,32.80
51.64,running,78.3125,77.76,0.190,0,25.31,32.80
52.67,running,79.5625,79.23,0.669,1,25.31,33.02
53.64,running,80.8125,80.61,0.857,1,25.31,33.23
54.65,running,82.0625,82.03,1.000,1,25.31,33.44
55.65,running,83.4375,83.46,1.000,0,25.31,33.22
56.64,running,85.1875,84.85,1.000,1,25.31,32.59
57.65,running,86.4375,86.29,1.000,1,25.31,33.23
58.65,running,87.6875,87.71,1.000,1,25.31,32.80
59.64,running,89.1250,89.11,1.000,1,25.38,33.02
60.64,running,90.5000,90.53,0.974,1,25.38,33.01
61.68,running,92.8125,92.00,0.512,1,25.38,33.01
62.68,running,94.3750,93.41,0.355,1,25.44,33.23
63.66,running,95.8750,94.81,0.256,1,25.44,32.38
64.71,running,97.3750,96.29,0.433,1,25.44,32.59
65.70,running,98.9375,97.70,0.412,1,25.44,33.44
66.64,running,100.5625,99.04,0.417,0,25.44,33.23
67.66,running,102.0000,100.47,0.380,0,25.44,32.59
68.65,running,103.5625,101.88,0.548,0,25.44,32.80
69.65,running,104.5625,103.29,1.000,1,25.50,33.45
70.64,running,105.7500,104.71,1.000,1,25.50,33.44
71.66,running,106.9375,106.15,1.000,1,25.56,33.02
72.64,running,108.1250,107.54,1.000,0,25.50,32.80
73.64,running,109.7500,108.83,1.000,1,25.56,32.80
74.64,running,110.8125,110.11,1.000,1,25.63,33.02
75.65,running,111.8750,111.41,1.000,1,25.56,33.02
76.64,running,113.1250,112.68,1.000,1,25.63,33.44
77.64,running,114.4375,113.97,1.000,1,25.63,32.81
78.64,running,115.6875,115.26,1.000,1,25.69,33.45
79.64,running,117.1250,116.54,0.833,1,25.69,33.23
80.65,running,118.7500,117.84,0.731,1,25.69,33.23
81.64,running,119.9375,119.11,0.615,1,25.69,32.58
82.64,running,121.3125,120.40,0.636,1,25.75,33.02
83.65,running,122.6875,121.69,0.661,1,25.75,33.23
84.67,running,124.7500,123.01,0.251,0,25.75,33.23
85.64,running,125.8750,124.25,0.482,1,25.81,33.23
86.65,running,126.8750,125.55,0.630,1,25.81,32.80
87.67,running,127.8750,126.74,0.985,0,25.81,33.66
88.70,running,128.9375,127.94,1.000,0,25.81,32.80
89.72,running,129.8125,129.12,1.000,1,25.81,32.80
90.72,running,130.5000,130.28,1.000,1,25.88,33.44
91.65,running,131.3125,131.36,1.000,1,25.88,33.22
92.65,running,132.3750,132.52,1.000,1,25.88,33.24
93.64,running,133.3125,133.67,1.000,1,26.00,33.44
94.64,running,134.3125,134.84,1.000,1,26.00,32.80
95.66,running,135.6250,136.01,1.000,1,26.00,33.01
96.64,running,136.6250,137.15,1.000,1,26.06,32.80
97.67,running,138.0000,138.35,1.000,1,26.06,33.01
98.64,running,139.5000,139.47,1.000,1,26.13,33.02
99.64,running,140.2500,140.63,1.000,1,26.13,33.22
100.66,running,141.5000,141.78,1.000,1,26.19,32.38
101.64,running,142.5625,142.81,1.000,1,26.19,33.01
102.65,running,143.8125,143.87,0.698,1,26.25,33.66
103.64,running,144.9375,144.91,0.492,1,26.25,33.44
104.65,running,146.1250,145.97,0.319,1,26.31,32.79
105.67,running,147.6250,147.04,0.082,1,26.38,33.23
106.64,running,148.6875,148.06,0.000,0,26.38,33.45
107.65,running,150.0000,149.12,0.000,0,26.44,33.22
108.64,running,150.6875,150.06,0.118,0,26.44,33.66
109.65,running,151.1875,150.46,0.498,0,26.44,32.80
110.64,running,151.6250,150.86,0.918,1,26.50,33.02
111.64,running,152.0000,151.26,0.978,1,26.56,33.01
112.65,running,152.3125,151.67,0.966,1,26.56,33.02
113.66,running,152.9375,152.07,0.812,1,26.63,33.87
114.66,running,153.5000,152.47,0.655,1,26.63,33.45
115.69,running,154.2500,152.88,0.319,1,26.69,33.23
116.64,running,155.1250,153.26,0.000,1,26.69,33.01
117.65,running,155.9375,153.67,0.000,0,26.75,33.02
118.64,running,156.6875,154.06,0.000,0,26.75,34.09
119.64,running,157.2500,154.46,0.009,0,26.81,33.44
120.65,running,157.5000,154.86,0.376,0,26.88,32.80
121.67,running,157.7500,155.27,0.705,0,26.94,33.01
122.64,running,157.8750,155.66,1.000,0,26.94,33.44
123.64,running,158.0000,156.06,1.000,1,27.00,33.02
124.64,running,158.0625,156.46,1.000,1,27.00,33.44
125.65,running,158.1875,156.86,1.000,1,27.06,33.22
126.64,running,158.5625,157.26,0.986,1,27.06,33.87
127.66,running,159.0000,157.67,0.739,1,27.19,33.66
128.64,running,159.4375,158.06,0.519,1,27.19,33.44
129.65,running,160.1875,158.47,0.254,1,27.25,33.44
130.65,running,161.0000,158.87,0.016,1,27.31,33.02
131.64,running,161.5625,159.26,0.000,0,27.31,33.22
132.65,running,162.0625,159.66,0.115,0,27.38,33.65
133.65,running,162.4375,160.07,0.359,0,27.44,33.44
134.66,running,162.5625,160.47,0.706,0,27.44,33.44
135.64,running,162.6250,160.86,1.000,1,27.50,33.66
136.64,running,162.8750,161.26,1.000,1,27.56,32.80
137.65,running,163.0625,161.66,1.000,1,27.56,33.44
138.65,running,163.3750,162.06,0.868,1,27.63,33.23
139.67,running,163.8750,162.47,0.647,1,27.69,33.43
140.70,running,164.6250,162.89,0.352,1,27.75,33.02
141.64,running,164.9375,163.26,0.286,1,27.75,33.23
142.64,running,165.5625,163.66,0.200,0,27.81,33.45
143.65,running,166.0625,164.07,0.367,1,27.81,33.44
144.65,running,166.5000,164.46,0.344,0,27.88,33.01
145.64,running,166.9375,164.86,0.494,0,27.94,33.02
146.67,running,167.1250,165.27,0.718,0,27.94,33.86
147.65,running,167.2500,165.66,1.000,1,28.00,33.87
148.65,running,167.4375,166.06,1.000,1,28.06,33.23
149.65,running,167.5625,166.46,1.000,1,28.06,33.44
150.64,running,167.9375,166.86,0.961,1,28.13,33.87
151.65,running,168.3125,167.27,0.807,1,28.19,33.24
152.64,running,169.0000,167.66,0.491,1,28.25,33.65
153.64,running,169.5000,168.06,0.353,1,28.25,33.87
154.65,running,170.2500,168.46,0.101,1,28.31,33.02
155.64,running,170.9375,168.86,0.000,1,28.38,33.22
156.64,running,171.6250,169.26,0.000,0,28.44,33.45
157.64,running,172.1875,169.66,0.065,0,28.44,33.22
158.64,running,172.4375,170.06,0.369,0,28.50,33.44
159.65,running,172.5625,170.47,0.830,0,28.56,33.23
160.64,running,172.8125,170.86,1.000,1,28.63,33.44
161.65,running,172.6875,171.27,1.000,1,28.69,33.43
162.64,running,172.8750,171.66,1.000,1,28.69,32.80
163.66,running,173.2500,172.07,0.980,1,28.81,33.65
164.64,running,173.6875,172.46,0.757,1,28.81,33.44
165.64,running,174.2500,172.86,0.501,1,28.88,33.44
166.64,running,174.7500,173.26,0.350,1,28.94,33.01
167.65,running,175.5625,173.66,0.095,1,28.94,33.44
168.64,running,176.5000,174.06,0.000,0,29.06,33.44
169.65,running,176.9375,174.47,0.000,0,29.06,33.23
170.65,running,177.2500,174.86,0.241,0,29.13,33.65
171.65,running,177.3750,175.26,0.700,0,29.13,33.44
172.66,running,177.5625,175.67,0.977,1,29.25,33.01
173.67,running,177.5625,176.07,1.000,1,29.25,33.44
174.65,running,177.6875,176.46,1.000,1,29.31,33.65
175.65,running,177.9375,176.87,1.000,1,29.38,33.44
176.66,running,178.3750,177.27,0.920,1,29.44,34.08
177.65,running,178.7500,177.67,1.000,1,29.44,33.23
178.64,running,179.3125,178.06,0.826,1,29.56,33.01
179.65,running,179.9375,178.47,0.752,1,29.50,33.22
180.64,running,180.7500,178.86,0.581,1,29.56,33.66
181.64,running,181.4375,179.26,0.544,1,29.63,33.44
182.65,running,182.1875,179.67,0.446,1,29.69,33.44
183.65,running,182.8750,180.12,0.481,0,29.69,33.66
184.64,running,183.5000,180.87,0.631,0,29.75,33.87
185.64,running,184.3750,181.62,0.688,1,29.88,33.23
186.64,running,184.3750,182.38,1.000,1,29.88,33.86
187.65,running,185.0625,183.14,1.000,1,29.94,33.44
188.67,running,185.5000,183.91,1.000,0,29.94,33.23
189.66,running,186.1875,184.66,1.000,1,30.06,33.44
190.64,running,186.4375,185.40,1.000,1,30.13,33.65
191.68,running,187.1875,186.18,1.000,1,30.19,33.65
192.64,running,187.8125,186.90,1.000,1,30.25,32.79
193.64,running,188.5000,187.66,1.000,1,30.31,33.01
194.66,running,189.1250,188.43,1.000,1,30.31,33.44
195.64,running,189.9375,189.17,0.998,1,30.44,33.44
196.65,running,190.6875,189.92,0.954,1,30.44,33.44
197.65,running,191.3750,190.68,0.973,1,30.50,33.87
198.64,running,192.3750,191.43,0.889,1,30.56,33.22
199.64,running,193.1875,192.18,0.857,1,30.63,33.65
200.65,running,193.9375,192.94,0.825,1,30.63,33.22
201.65,running,194.8125,193.69,0.841,1,30.75,33.22
202.64,running,195.6250,194.44,0.837,1,30.75,32.79
203.65,running,196.4375,195.21,0.871,1,30.88,33.65
204.67,running,197.6875,195.98,0.645,0,30.88,33.22
205.64,running,198.3125,196.71,0.840,1,30.94,33.44
206.65,running,198.8125,197.47,0.988,1,31.00,33.66
207.66,running,199.3125,198.23,1.000,1,31.00,33.65
208.65,running,199.9375,198.98,1.000,1,31.06,33.22
209.65,running,200.5000,199.73,1.000,1,31.13,33.66
210.65,running,201.3750,200.48,1.000,1,31.19,33.44
211.65,running,202.1250,201.24,1.000,1,31.25,33.86
212.71,running,202.8125,202.04,0.992,1,31.31,33.87
213.68,running,203.6250,202.77,0.898,1,31.38,33.66
214.70,running,204.3750,203.47,0.826,1,31.50,33.23
215.67,running,205.1875,204.11,0.761,1,31.50,33.23
216.65,running,206.1875,204.76,0.636,1,31.56,33.23
217.65,running,206.9375,205.42,0.619,1,31.56,33.66
218.64,running,207.8750,206.07,0.535,1,31.63,33.23
219.64,running,208.7500,206.73,0.567,1,31.75,33.44
220.64,running,209.7500,207.39,0.414,1,31.81,33.66
221.64,running,210.3750,208.05,0.602,0,31.81,33.44
222.65,running,210.8750,208.71,0.851,1,31.88,33.87
223.65,running,211.4375,209.37,0.992,1,31.94,33.44
224.64,running,212.0625,210.03,1.000,0,32.06,33.44
225.64,running,212.4375,210.69,1.000,0,32.00,33.22
226.64,running,212.7500,211.35,1.000,1,32.13,33.65
227.64,running,213.1250,212.01,1.000,1,32.19,33.86
228.64,running,213.4375,212.67,1.000,1,32.25,33.44
229.65,running,214.0000,213.33,1.000,1,32.38,33.86
230.65,running,214.3750,213.99,1.000,1,32.44,33.65
231.64,running,215.2500,214.64,1.000,1,32.44,33.65
232.65,running,215.8750,215.31,1.000,1,32.56,34.08
233.64,running,216.4375,215.96,1.000,1,32.56,33.65
234.66,running,217.0625,216.64,1.000,1,32.63,33.66
235.68,running,217.7500,217.31,1.000,1,32.69,33.65
236.70,running,218.3750,217.98,1.000,1,32.75,33.23
237.72,running,219.0000,218.63,1.000,1,32.81,33.86
