# from run-0020-console.txt; duty is the COMMANDED duty, which the run log does not carry
elapsed_s,state,temp_c,target_c,duty,relay,cold_c,cpu_c
0.00,precharge,47.1250,25.00,0.000,0,28.56,34.07
1.01,precharge,47.1875,25.00,1.000,1,28.63,34.28
2.00,precharge,47.0625,25.00,1.000,1,28.56,34.50
3.00,precharge,47.0625,25.00,1.000,1,28.56,34.71
3.99,precharge,47.0625,25.00,1.000,1,28.56,33.85
5.01,precharge,47.0625,25.00,1.000,1,28.63,34.49
6.00,precharge,47.1250,25.00,1.000,1,28.63,34.71
7.00,precharge,47.1250,25.00,1.000,1,28.56,34.71
8.01,precharge,47.2500,25.00,1.000,1,28.56,34.50
8.99,precharge,47.3750,25.00,1.000,1,28.56,34.49
10.00,precharge,47.5625,25.00,1.000,1,28.56,34.71
11.00,precharge,47.7500,25.00,1.000,1,28.56,33.85
12.00,precharge,48.0625,25.00,1.000,1,28.56,34.28
13.01,precharge,48.4375,25.00,1.000,1,28.56,34.07
14.01,precharge,48.8750,25.00,1.000,1,28.56,34.92
15.00,precharge,49.3125,25.00,1.000,1,28.56,34.07
16.01,precharge,49.8125,25.00,1.000,1,28.56,34.28
17.00,precharge,50.3125,25.00,1.000,1,28.50,34.50
18.00,precharge,51.0625,25.00,1.000,1,28.50,34.28
19.00,precharge,52.0625,25.00,1.000,1,28.50,33.85
20.00,precharge,52.8125,25.00,1.000,1,28.50,34.71
21.00,precharge,53.6250,25.00,1.000,1,28.50,34.07
22.00,precharge,54.4375,25.00,1.000,1,28.50,34.50
23.02,precharge,55.4375,25.00,1.000,1,28.50,34.50
24.00,precharge,56.3750,25.00,1.000,1,28.50,34.29
25.00,precharge,57.3125,25.00,1.000,1,28.44,34.71
26.00,precharge,58.6875,25.00,1.000,1,28.44,33.64
27.67,running,60.6875,60.46,1.000,0,28.44,34.71
28.68,running,61.6250,61.71,0.913,0,28.44,33.86
29.67,running,62.4375,62.94,0.301,0,28.38,34.07
30.68,running,63.3750,64.19,1.000,0,28.44,34.49
31.67,running,64.3750,65.42,0.936,1,28.44,34.50
32.68,running,65.1875,66.67,0.895,1,28.44,34.71
33.69,running,66.0625,67.91,1.000,1,28.44,34.29
34.69,running,67.0625,69.16,0.991,1,28.44,34.28
35.69,running,68.1250,70.40,0.873,1,28.44,34.07
36.69,running,69.3125,71.63,0.909,1,28.50,34.50
37.68,running,70.4375,72.87,0.881,1,28.44,34.71
38.68,running,72.0000,74.10,0.625,1,28.44,34.71
39.74,running,73.3750,75.42,0.668,1,28.50,34.28
40.73,running,74.7500,76.63,0.629,1,28.50,34.71
41.77,running,76.5000,77.92,0.435,1,28.44,34.49
42.77,running,78.1875,79.19,0.272,0,28.44,34.28
43.68,running,78.8125,80.33,0.571,1,28.44,34.07
44.68,running,80.5000,81.58,0.511,1,28.44,34.28
45.71,running,81.7500,82.88,0.538,0,28.44,34.28
46.67,running,82.9375,84.10,0.325,0,28.44,34.07
47.68,running,84.0625,85.37,0.262,1,28.44,34.49
48.67,running,85.0625,86.62,0.156,0,28.44,35.14
49.68,running,86.4375,87.89,0.127,0,28.44,34.50
50.68,running,87.4375,89.15,0.087,0,28.50,34.29
51.68,running,88.1875,90.15,0.144,0,28.44,34.07
52.68,running,89.0000,90.59,0.190,0,28.50,33.86
53.68,running,89.6875,91.04,0.174,0,28.44,34.07
54.68,running,90.3125,91.48,0.313,0,28.44,34.50
55.68,running,90.8750,91.93,0.434,1,28.44,34.71
56.68,running,91.7500,92.37,0.288,1,28.50,34.50
57.67,running,92.4375,92.81,0.203,0,28.44,34.07
58.67,running,93.1250,93.25,0.052,0,28.44,33.86
59.68,running,93.8125,93.70,0.011,0,28.50,34.71
60.69,running,94.5000,94.15,0.000,1,28.50,34.28
61.69,running,95.1250,94.60,0.000,0,28.50,33.86
62.69,running,95.6250,95.04,0.000,0,28.50,34.71
63.68,running,96.1875,95.48,0.115,0,28.50,34.50
64.68,running,96.6250,95.92,0.196,0,28.50,34.71
65.69,running,97.0625,96.37,0.214,0,28.56,34.71
66.70,running,97.3750,96.82,0.287,0,28.50,33.86
67.70,running,97.8750,97.27,0.415,0,28.56,34.71
68.73,running,98.3125,97.72,0.357,1,28.56,34.50
69.67,running,98.6250,98.14,0.325,0,28.56,34.50
70.68,running,99.0000,98.59,0.349,0,28.56,34.07
71.68,running,99.3750,99.03,0.321,0,28.63,34.28
72.68,running,99.6875,99.48,0.343,1,28.56,34.29
73.67,running,100.0625,99.92,0.284,0,28.63,34.28
74.68,running,100.3750,100.37,0.401,0,28.63,34.50
75.68,running,100.6875,100.81,0.469,0,28.63,34.07
76.69,running,101.3750,101.26,0.314,1,28.63,33.86
77.68,running,101.2500,101.70,0.427,1,28.63,33.86
78.68,running,101.8125,102.15,0.368,0,28.69,34.28
79.68,running,102.0625,102.59,0.573,0,28.63,33.64
80.68,running,102.4375,103.03,0.587,1,28.63,34.28
81.69,running,102.8750,103.48,0.481,1,28.69,34.07
82.69,running,103.3750,103.93,0.382,0,28.69,34.29
83.67,running,103.8750,104.36,0.341,0,28.69,34.50
84.67,running,104.3125,104.81,0.412,1,28.69,34.07
85.68,running,104.7500,105.26,0.331,1,28.75,34.07
86.67,running,105.1250,105.70,0.420,0,28.69,33.65
87.67,running,105.6875,106.14,0.382,0,28.75,34.28
88.68,running,106.0000,106.59,0.511,1,28.69,34.07
89.68,running,106.4375,107.03,0.470,1,28.75,34.07
90.68,running,107.0000,107.48,0.375,1,28.75,33.85
91.70,running,107.5625,107.93,0.325,0,28.81,34.28
92.70,running,108.0000,108.38,0.434,1,28.75,34.28
93.76,running,108.5625,108.85,0.327,1,28.81,34.07
94.67,running,108.9375,109.25,0.330,0,28.81,34.29
95.68,running,109.6875,109.70,0.329,0,28.81,34.28
96.68,running,110.1875,110.14,0.318,0,28.88,34.29
97.68,running,110.5625,110.59,0.372,1,28.88,34.28
98.68,running,111.0625,111.04,0.306,0,28.88,34.71
99.68,running,111.4375,111.48,0.377,0,28.88,34.29
100.68,running,112.0000,111.92,0.412,0,28.94,34.07
101.67,running,112.3750,112.36,0.335,1,28.94,33.64
102.68,running,112.8750,112.81,0.328,0,28.94,34.07
103.68,running,113.3750,113.26,0.390,0,28.94,34.07
104.68,running,113.8125,113.70,0.460,0,29.00,33.86
105.67,running,114.3750,114.14,0.391,1,29.00,34.50
106.68,running,114.4375,114.59,0.424,1,29.00,34.71
107.68,running,115.1250,115.04,0.390,0,29.00,34.50
108.69,running,115.5000,115.48,0.422,0,29.00,34.50
109.69,running,115.8750,115.93,0.535,1,29.06,34.29
110.68,running,116.2500,116.37,0.457,1,29.06,34.07
111.68,running,116.6250,116.81,0.491,0,29.00,34.28
112.68,running,117.0625,117.26,0.516,0,29.06,33.43
113.68,running,117.5625,117.70,0.567,1,29.13,34.93
114.67,running,117.8750,118.14,0.451,1,29.13,34.07
115.69,running,118.3125,118.59,0.435,1,29.13,34.71
116.69,running,118.8125,119.04,0.517,0,29.13,33.86
117.67,running,119.3125,119.48,0.451,0,29.13,33.85
118.67,running,119.6250,119.92,0.541,1,29.19,34.29
119.69,running,120.4375,120.37,0.337,1,29.19,34.07
120.74,running,121.0000,120.84,0.326,0,29.19,34.07
121.71,running,121.5000,121.27,0.392,0,29.25,33.85
122.67,running,121.8750,121.70,0.436,1,29.25,34.29
123.68,running,122.3125,122.15,0.337,0,29.25,33.86
124.67,running,122.9375,122.59,0.356,0,29.25,34.07
125.68,running,123.2500,123.04,0.431,0,29.25,34.07
126.67,running,123.5000,123.48,0.481,1,29.31,34.07
127.68,running,124.0000,123.93,0.436,1,29.31,34.28
128.67,running,124.4375,124.36,0.460,0,29.31,33.65
129.68,running,124.9375,124.81,0.545,0,29.38,34.29
130.68,running,125.3125,125.26,0.486,1,29.38,33.85
131.68,running,125.8125,125.70,0.519,1,29.50,34.28
132.68,running,126.3750,126.15,0.359,0,29.44,34.07
133.68,running,126.9375,126.59,0.411,0,29.50,33.86
134.69,running,127.2500,127.04,0.495,1,29.50,34.07
135.68,running,127.7500,127.48,0.179,1,29.50,34.93
136.68,running,128.2500,127.92,0.196,0,29.56,34.50
137.68,running,128.6875,128.37,0.246,0,29.56,34.07
138.67,running,129.0625,128.81,0.318,1,29.56,34.93
139.69,running,129.3750,129.26,0.240,1,29.56,34.07
140.68,running,129.8125,129.70,0.180,0,29.63,34.28
141.68,running,130.1875,130.09,0.236,0,29.63,34.28
142.73,running,130.5625,130.37,0.354,1,29.69,34.07
143.72,running,130.9375,130.63,0.286,1,29.69,34.28
144.68,running,131.2500,130.89,0.289,0,29.69,34.50
145.68,running,131.6250,131.15,0.307,0,29.75,33.86
146.68,running,132.0625,131.42,0.203,0,29.75,34.50
147.68,running,132.3125,131.69,0.211,1,29.75,33.86
148.70,running,132.6250,131.96,0.157,0,29.75,34.50
149.67,running,132.9375,132.22,0.284,0,29.81,34.28
150.69,running,133.1875,132.49,0.316,0,29.88,33.86
151.67,running,133.4375,132.75,0.319,1,29.88,34.28
152.71,running,133.6250,133.03,0.279,0,29.88,34.29
153.68,running,133.9375,133.29,0.300,0,29.88,33.86
154.68,running,134.2500,133.55,0.320,0,29.94,34.07
155.68,running,134.4375,133.82,0.319,1,29.94,34.29
156.68,running,134.6875,134.09,0.259,0,30.00,34.07
157.68,running,134.9375,134.35,0.233,0,30.00,34.29
158.67,running,135.1875,134.62,0.348,0,30.00,34.07
159.69,running,135.5625,134.89,0.288,1,30.06,34.07
160.68,running,135.8125,135.15,0.271,0,30.13,33.86
161.69,running,136.0625,135.42,0.313,0,30.13,34.28
162.67,running,136.2500,135.69,0.388,0,30.13,34.07
163.68,running,136.3125,135.95,0.509,1,30.13,33.64
164.68,running,136.5625,136.22,0.397,1,30.13,34.71
165.68,running,136.9375,136.49,0.488,0,30.25,34.07
166.68,running,137.1250,136.75,0.626,0,30.25,33.43
167.69,running,137.3125,137.02,0.837,1,30.25,33.86
168.67,running,137.5625,137.29,0.957,1,30.31,34.29
169.69,running,137.8125,137.56,0.989,1,30.31,33.64
170.68,running,138.1875,137.82,1.000,1,30.38,33.43
171.75,running,138.9375,138.36,1.000,1,30.38,34.50
172.72,running,139.5625,139.23,0.946,1,30.44,33.64
173.68,running,140.1875,140.09,0.860,1,30.44,34.29
174.68,running,140.8750,141.00,0.778,1,30.44,34.29
175.68,running,141.8125,141.90,0.657,1,30.44,34.07
176.68,running,142.6875,142.80,0.609,1,30.50,34.93
177.67,running,143.5625,143.69,0.620,1,30.56,33.64
178.67,running,144.5625,144.59,0.505,1,30.63,34.29
179.68,running,145.5000,145.50,0.474,0,30.63,33.86
180.68,running,146.3750,146.39,0.526,1,30.63,34.07
181.68,running,147.0000,147.30,0.627,1,30.63,34.29
182.68,running,148.0625,148.19,0.816,0,30.69,34.07
183.69,running,148.8750,149.10,0.875,0,30.69,34.71
184.68,running,149.4375,149.99,0.988,1,30.75,33.64
185.68,running,149.9375,150.89,1.000,1,30.75,34.07
186.67,running,150.7500,151.79,1.000,1,30.81,34.07
187.68,running,151.5000,152.70,1.000,1,30.88,34.29
188.68,running,152.2500,153.60,1.000,1,30.88,33.86
189.70,running,153.1250,154.51,0.994,1,30.94,34.28
190.69,running,154.0000,155.40,0.979,1,30.94,34.50
191.73,running,155.0000,156.34,0.837,1,31.00,34.29
192.70,running,156.0000,157.21,0.851,1,31.00,34.29
193.74,running,157.1875,158.15,0.754,1,31.00,34.29
194.73,running,158.3125,159.04,0.760,1,31.06,33.43
195.77,running,159.6250,159.97,0.122,1,31.13,33.65
196.68,running,160.4375,160.80,0.000,1,31.13,34.07
197.69,running,162.0000,161.70,0.000,0,31.19,34.07
198.68,running,162.6875,162.59,0.000,0,31.19,33.86
199.68,running,163.2500,163.49,0.000,0,31.25,34.50
200.68,running,163.6250,164.39,0.044,0,31.25,33.64
201.68,running,164.0625,164.71,0.000,0,31.38,34.50
202.68,running,164.1875,163.80,0.000,0,31.31,34.28
203.69,running,164.4375,162.90,0.000,0,31.38,34.07
204.68,running,164.5000,162.00,0.000,0,31.38,33.86
205.68,running,164.5625,161.11,0.000,0,31.44,34.07
206.69,running,164.6250,160.19,0.000,0,31.50,34.28
207.68,running,164.5625,159.31,0.000,0,31.50,34.07
208.68,running,164.5000,158.40,0.000,0,31.50,34.08
209.68,running,164.3750,157.50,0.000,0,31.56,33.64
210.68,running,164.1875,156.60,0.000,0,31.56,33.86
211.69,running,164.0000,155.70,0.000,0,31.63,33.86
212.68,running,163.8125,154.81,0.000,0,31.63,33.86
213.70,running,163.6250,153.89,0.000,0,31.69,33.86
214.68,running,163.3750,153.01,0.000,0,31.75,33.65
215.68,running,163.0625,152.11,0.000,0,31.75,34.71
216.70,running,162.7500,151.19,0.000,0,31.75,33.65
217.68,running,162.4375,150.30,0.000,0,31.81,34.07
218.68,running,162.1250,149.41,0.000,0,31.81,33.64
219.68,running,161.8750,148.50,0.000,0,31.88,33.43
220.75,running,161.4375,147.54,0.000,0,31.94,34.50
221.68,running,161.1250,146.71,0.000,0,31.94,33.64
222.68,running,160.8125,145.81,0.000,0,32.00,33.64
223.71,running,160.3750,144.88,0.000,0,32.00,34.08
224.68,running,160.0625,144.01,0.000,0,32.13,33.65
225.67,running,159.6875,143.11,0.000,0,32.13,33.86
226.72,running,159.1875,142.17,0.000,0,32.13,34.50
227.70,running,158.8125,141.29,0.000,0,32.19,34.29
228.70,running,158.5000,140.39,0.000,0,32.25,34.07
229.70,running,158.0625,139.49,0.000,0,32.25,33.64
230.72,running,157.6250,138.57,0.000,0,32.25,34.07
231.79,running,157.0625,137.37,0.000,0,32.31,33.21
232.69,running,156.7500,136.08,0.000,0,32.31,34.50
233.68,running,156.3750,134.67,0.000,0,32.38,34.07
234.68,running,156.0000,133.23,0.000,0,32.38,33.64
235.68,running,155.6250,131.80,0.000,0,32.44,34.07
236.67,running,155.0625,130.37,0.000,0,32.50,33.64
237.68,running,154.6250,128.94,0.000,0,32.50,33.43
238.68,running,154.1875,127.49,0.000,0,32.50,33.86
239.68,running,153.8750,126.07,0.000,0,32.56,33.86
240.68,running,153.4375,124.63,0.000,0,32.56,33.86
241.68,running,153.0625,123.20,0.000,0,32.63,34.07
242.68,running,152.6250,121.77,0.000,0,32.63,33.86
243.69,running,152.2500,120.31,0.000,0,32.69,34.07
244.67,running,151.7500,118.91,0.000,0,32.69,33.85
245.75,running,151.4375,117.36,0.000,0,32.75,33.85
246.68,running,151.0000,116.04,0.000,0,32.75,33.86
247.67,running,150.6250,114.61,0.000,0,32.81,33.65
248.67,running,150.1875,113.18,0.000,0,32.81,33.85
249.67,running,149.6875,111.74,0.000,0,32.88,33.86
250.67,running,149.3750,110.31,0.000,0,32.94,33.86
251.68,running,148.9375,108.86,0.000,0,32.94,33.86
252.68,running,148.6250,107.43,0.000,0,33.00,34.07
253.68,running,148.1875,106.00,0.000,0,33.00,33.85
254.68,running,147.6875,104.57,0.000,0,33.00,34.50
255.67,running,147.3750,103.14,0.000,0,33.06,33.86
256.69,running,147.0000,101.68,0.000,0,33.06,34.50
257.68,running,146.5625,100.27,0.000,0,33.06,33.65
258.68,running,146.3125,98.84,0.000,0,33.19,33.86
259.67,running,145.8750,97.41,0.000,0,33.13,33.86
260.68,running,145.6250,95.97,0.000,0,33.19,33.86
