# from run-0021-console.txt; duty is the COMMANDED duty, which the run log does not carry
elapsed_s,state,temp_c,target_c,duty,relay,cold_c,cpu_c
0.00,precharge,24.8125,25.00,0.000,0,24.94,32.58
0.99,precharge,24.8125,25.00,1.000,1,24.94,32.15
2.90,running,24.8125,25.14,0.831,0,24.94,32.80
3.91,running,24.8125,25.27,0.680,0,24.94,32.15
4.93,running,24.7500,25.39,0.614,0,24.88,32.79
5.91,running,24.7500,25.51,0.946,1,24.94,33.01
6.90,running,24.8125,25.63,0.672,1,24.88,32.37
7.91,running,24.7500,25.76,0.657,1,24.88,32.37
8.90,running,24.8125,25.88,0.599,1,24.88,32.58
9.91,running,24.8750,26.00,0.547,1,24.88,32.16
10.90,running,24.8750,26.12,0.554,1,24.88,32.58
11.91,running,25.0000,26.25,0.887,1,24.88,32.79
12.91,running,25.0625,26.37,0.848,0,24.88,32.58
13.91,running,25.2500,26.49,0.833,1,24.88,32.37
14.90,running,25.4375,26.61,0.770,1,24.94,32.16
15.97,running,25.5625,26.74,0.672,1,24.94,32.80
16.91,running,25.8125,26.86,0.659,1,24.94,32.15
17.90,running,26.0000,27.08,0.604,1,24.88,33.01
18.90,running,26.3750,27.35,0.545,1,24.88,32.80
19.91,running,26.8125,27.63,0.427,1,24.88,32.58
20.91,running,27.1875,27.90,0.310,1,24.88,32.15
21.90,running,27.6875,28.17,0.363,0,24.94,32.79
22.92,running,28.1250,28.45,0.579,1,24.94,32.37
23.91,running,28.5625,28.71,0.400,1,24.94,32.58
24.91,running,29.0625,28.99,0.236,0,24.94,32.58
25.90,running,29.6250,29.26,0.183,0,24.94,32.37
26.92,running,30.4375,29.53,0.136,1,24.94,32.80
27.91,running,31.0000,29.89,0.057,0,24.94,32.79
28.91,running,31.6250,30.38,0.263,0,24.94,32.80
29.92,running,32.1250,30.87,0.302,0,24.94,32.80
30.92,running,32.5625,31.37,0.259,1,24.88,31.94
31.91,running,33.3125,31.86,0.194,0,24.94,32.80
32.91,running,33.9375,32.35,0.209,0,24.94,32.16
33.94,running,34.5625,32.85,0.257,0,24.94,32.37
34.91,running,35.4375,33.53,0.149,1,24.88,32.36
35.95,running,35.7500,34.34,0.398,0,24.94,32.15
36.96,running,36.6250,35.12,0.371,0,24.94,32.36
37.98,running,37.1875,35.91,0.312,0,24.94,32.58
38.91,running,37.6875,36.64,0.670,1,24.88,32.59
39.91,running,38.3750,37.42,0.653,1,24.94,32.58
40.90,running,38.8750,38.29,0.848,0,24.88,32.15
41.91,running,39.6250,39.37,0.832,0,24.94,32.59
42.91,running,40.7500,40.43,0.733,1,24.94,32.15
43.91,running,41.0625,41.50,0.970,1,24.94,32.37
44.92,running,41.8125,42.57,0.876,1,24.94,32.58
45.91,running,42.6250,43.62,0.933,1,24.94,33.01
46.90,running,43.4375,44.68,0.998,1,24.94,33.01
47.91,running,44.3750,45.76,1.000,1,24.94,32.58
48.92,running,45.9375,46.97,0.668,1,24.94,32.80
49.90,running,47.0625,48.22,0.551,1,24.94,32.79
50.91,running,48.2500,49.51,0.557,1,24.94,32.58
51.91,running,49.4375,50.77,0.655,1,24.94,32.58
52.91,running,50.8125,52.04,0.554,1,25.00,32.37
53.91,running,52.1250,53.32,0.735,0,24.94,32.37
