# from run-0022-console.txt; duty is the COMMANDED duty, which the run log does not carry
elapsed_s,state,temp_c,target_c,duty,relay,cold_c,cpu_c
0.00,precharge,58.8750,25.00,0.000,0,38.19,33.86
1.01,precharge,58.8750,25.00,1.000,1,38.19,34.08
2.01,precharge,58.8750,25.00,1.000,1,38.25,33.00
3.01,precharge,58.7500,25.00,1.000,1,38.19,34.07
4.01,precharge,58.7500,25.00,1.000,1,38.19,33.43
5.01,precharge,58.7500,25.00,1.000,1,38.19,33.43
6.01,precharge,58.6250,25.00,1.000,1,38.13,33.86
7.01,precharge,58.7500,25.00,1.000,1,38.19,34.07
8.00,precharge,58.7500,25.00,1.000,1,38.13,34.07
9.01,precharge,59.0625,25.00,1.000,1,38.19,33.86
10.00,precharge,59.1875,25.00,1.000,1,38.13,33.43
11.00,precharge,59.4375,25.00,1.000,1,38.19,34.08
12.00,precharge,59.6250,25.00,1.000,1,38.13,33.86
13.01,precharge,60.0000,25.00,1.000,1,38.13,33.43
14.00,precharge,60.4375,25.00,1.000,1,38.13,34.28
15.01,precharge,61.0625,25.00,1.000,1,38.13,33.65
16.01,precharge,61.5000,25.00,1.000,1,38.06,33.86
17.00,precharge,62.0625,25.00,1.000,1,38.06,34.07
18.01,precharge,62.7500,25.00,1.000,1,38.06,33.85
19.01,precharge,63.3750,25.00,1.000,1,38.00,33.64
20.00,precharge,64.3750,25.00,1.000,1,38.06,34.50
21.03,precharge,65.1875,25.00,1.000,1,38.06,33.86
22.01,precharge,66.0000,25.00,1.000,1,38.00,34.50
23.00,precharge,66.8750,25.00,1.000,1,38.00,33.86
24.01,precharge,67.8125,25.00,1.000,1,38.00,33.86
25.00,precharge,69.3750,25.00,1.000,1,38.00,33.43
26.01,precharge,70.4375,25.00,1.000,1,38.00,34.07
27.01,precharge,71.6250,25.00,1.000,1,38.00,33.65
28.00,precharge,72.7500,25.00,1.000,1,38.00,33.86
29.00,precharge,73.9375,25.00,1.000,1,37.94,33.86
30.01,running,75.6250,25.00,1.000,0,38.00,34.50
31.78,running,77.5625,78.17,1.000,0,37.94,33.86
32.78,running,78.5000,79.58,1.000,0,37.94,34.07
33.78,running,79.3125,81.01,1.000,0,37.94,33.64
34.78,running,80.1250,82.42,1.000,1,37.94,34.07
35.78,running,80.8750,83.83,1.000,1,37.94,33.22
36.81,running,82.3125,85.29,1.000,1,37.94,33.86
37.78,running,83.3125,86.67,1.000,1,37.94,34.07
38.78,running,84.4375,88.09,1.000,1,37.88,33.86
39.78,running,85.6875,89.50,1.000,1,37.94,33.86
40.78,running,87.3125,90.92,1.000,1,37.88,33.64
41.79,running,88.5625,92.36,1.000,1,37.88,33.43
42.80,running,90.0000,93.79,0.981,1,37.94,33.42
43.78,running,91.4375,95.18,1.000,1,37.94,33.85
44.79,running,92.8125,96.60,1.000,1,37.88,34.07
45.78,running,94.3750,98.01,1.000,1,37.94,34.29
46.78,running,96.1250,99.43,0.804,1,37.88,33.64
47.79,running,97.6875,100.86,0.750,1,37.88,33.43
48.78,running,99.2500,102.26,0.675,1,37.88,34.07
49.78,running,100.7500,103.68,0.855,1,37.88,33.43
50.78,running,102.2500,105.10,0.955,1,37.81,33.43
51.78,running,104.3125,106.52,0.889,1,37.81,33.65
52.80,running,106.2500,107.93,0.680,1,37.88,34.29
53.84,running,107.8125,109.26,0.824,0,37.88,34.28
54.87,running,109.0625,110.58,0.782,1,37.81,34.07
55.78,running,110.6875,111.76,0.599,1,37.81,33.21
56.79,running,111.9375,113.06,0.559,1,37.75,33.43
57.78,running,113.3750,114.34,0.760,1,37.81,33.65
58.79,running,114.8125,115.63,0.701,1,37.81,33.43
59.79,running,116.3125,116.91,0.707,1,37.88,33.64
60.78,running,117.7500,118.19,0.590,1,37.81,33.86
61.78,running,119.5625,119.47,0.249,0,37.81,33.42
62.78,running,120.8750,120.76,0.337,1,37.81,34.07
63.79,running,121.9375,122.06,0.649,1,37.81,34.29
64.78,running,123.0625,123.33,0.760,0,37.81,33.85
65.79,running,124.1250,124.63,1.000,0,37.81,33.86
66.78,running,125.0000,125.87,1.000,0,37.81,33.43
67.79,running,125.9375,127.04,1.000,1,37.81,34.28
68.79,running,126.9375,128.20,1.000,1,37.81,34.07
69.78,running,127.7500,129.35,1.000,1,37.75,33.64
70.78,running,129.0625,130.51,1.000,1,37.81,34.29
71.80,running,130.1250,131.69,1.000,1,37.81,33.43
72.79,running,131.3125,132.85,0.895,1,37.81,33.86
73.78,running,132.4375,134.00,1.000,1,37.81,34.29
74.78,running,133.6875,135.16,0.974,1,37.81,34.71
75.78,running,134.9375,136.32,0.949,1,37.81,33.65
76.78,running,136.1875,137.48,0.738,1,37.81,33.86
77.79,running,137.8750,138.65,0.678,1,37.81,33.64
78.78,running,139.1250,139.80,0.383,1,37.81,34.07
79.78,running,140.4375,140.97,0.393,1,37.81,34.29
80.78,running,141.7500,142.06,0.515,1,37.88,34.07
81.81,running,143.0625,143.15,0.464,1,37.81,33.43
82.81,running,145.0000,144.19,0.000,1,37.81,33.86
83.81,running,146.3750,145.25,0.000,0,37.88,34.07
84.85,running,147.4375,146.33,0.000,0,37.81,33.86
85.85,running,148.2500,147.38,0.060,0,37.81,34.29
86.79,running,149.0625,148.37,0.204,0,37.81,33.86
87.78,running,149.5625,149.41,0.331,1,37.81,34.29
88.79,running,150.1250,150.18,0.427,1,37.88,34.50
89.78,running,150.5625,150.57,0.631,0,37.81,33.64
90.79,running,151.0625,150.98,0.668,0,37.81,33.43
91.80,running,151.5000,151.38,0.647,1,37.88,33.86
92.78,running,151.9375,151.77,0.635,1,37.88,33.86
93.79,running,152.3750,152.18,0.635,1,37.88,33.64
94.78,running,152.8750,152.57,0.444,0,37.88,33.86
95.79,running,153.5000,152.98,0.521,0,37.88,34.28
96.78,running,153.8750,153.37,0.328,1,37.88,33.43
97.79,running,154.2500,153.78,0.378,1,37.88,34.08
98.79,running,154.9375,154.18,0.402,0,37.94,33.86
99.78,running,155.5000,154.57,0.483,0,37.94,33.43
100.78,running,155.8125,154.97,0.447,1,38.00,34.07
101.78,running,156.1250,155.38,0.404,1,37.94,34.07
102.78,running,156.6875,155.77,0.401,0,38.00,34.71
103.80,running,157.0000,156.18,0.563,0,38.00,33.64
104.78,running,157.2500,156.57,0.589,1,37.94,33.65
105.79,running,157.5625,156.98,0.589,1,38.00,34.28
106.78,running,157.9375,157.37,0.547,0,38.00,33.64
107.79,running,158.3125,157.78,0.632,0,38.00,33.86
108.78,running,158.7500,158.17,0.479,1,38.06,33.64
109.80,running,159.0625,158.58,0.548,1,38.00,33.86
110.78,running,159.5625,158.98,0.470,0,38.06,33.43
111.78,running,160.0000,159.37,0.490,0,38.06,34.07
112.81,running,160.5000,159.78,0.452,1,38.06,33.65
113.78,running,160.8750,160.17,0.453,1,38.06,33.44
114.78,running,161.3750,160.57,0.353,0,38.06,33.22
115.78,running,161.7500,160.97,0.460,0,38.13,33.85
116.79,running,162.1250,161.38,0.464,1,38.13,33.86
117.78,running,162.3750,161.78,0.452,1,38.13,34.07
118.78,running,163.0000,162.17,0.408,0,38.19,33.43
119.88,running,163.4375,162.61,0.435,0,38.19,34.07
120.81,running,163.6875,162.99,0.465,1,38.13,34.08
121.82,running,164.0625,163.39,0.427,1,38.19,34.07
122.79,running,164.4375,163.78,0.483,0,38.19,33.85
123.78,running,164.8125,164.18,0.575,0,38.19,33.64
124.78,running,165.1250,164.57,0.723,1,38.19,33.85
125.78,running,165.4375,164.97,0.655,1,38.25,34.07
126.78,running,165.6875,165.37,0.616,0,38.25,34.07
127.78,running,166.0000,165.77,0.624,0,38.25,34.29
128.79,running,166.5000,166.18,0.684,1,38.31,34.07
129.78,running,166.6875,166.57,0.694,1,38.31,33.64
130.78,running,167.0000,166.97,0.668,1,38.31,34.29
131.78,running,167.3750,167.38,0.709,0,38.31,33.86
132.78,running,167.8125,167.78,0.664,0,38.38,34.07
133.78,running,168.1875,168.17,0.619,1,38.38,34.07
134.78,running,168.5000,168.58,0.552,1,38.38,33.43
135.79,running,169.0000,168.98,0.526,0,38.44,34.71
136.78,running,169.4375,169.37,0.626,0,38.44,34.28
137.80,running,169.7500,169.78,0.558,1,38.44,33.86
138.79,running,170.1875,170.18,0.557,1,38.50,33.86
139.78,running,170.7500,170.58,0.428,0,38.50,34.29
140.79,running,171.2500,170.98,0.565,0,38.50,33.85
141.78,running,171.5625,171.37,0.598,1,38.50,34.29
142.78,running,171.9375,171.77,0.552,1,38.56,34.50
143.78,running,172.3750,172.18,0.526,0,38.56,33.86
144.78,running,173.0625,172.58,0.513,0,38.56,34.28
145.79,running,173.3750,172.98,0.550,1,38.63,34.07
146.78,running,173.7500,173.37,0.494,1,38.63,34.29
147.79,running,174.1250,173.78,0.486,1,38.63,33.86
148.78,running,174.6875,174.18,0.427,0,38.63,34.50
149.78,running,175.0000,174.58,0.587,1,38.69,33.86
150.78,running,175.3750,174.97,0.545,1,38.69,33.86
151.81,running,175.7500,175.39,0.487,1,38.69,34.07
152.81,running,176.2500,175.78,0.526,0,38.75,33.86
153.85,running,176.6250,176.20,0.590,1,38.75,34.07
154.78,running,176.9375,176.57,0.561,1,38.81,33.86
155.78,running,177.4375,176.97,0.546,1,38.81,33.86
156.79,running,177.8750,177.38,0.600,0,38.81,33.86
157.78,running,178.2500,177.78,0.770,1,38.81,34.07
158.78,running,178.6250,178.18,0.794,1,38.88,33.43
159.78,running,179.0000,178.57,0.746,1,38.94,34.07
160.78,running,179.7500,178.97,0.763,1,38.94,33.86
161.78,running,180.2500,179.37,0.781,1,38.94,34.28
162.78,running,181.0000,179.77,0.626,1,39.00,34.29
163.78,running,181.7500,180.33,0.491,1,39.00,33.65
164.79,running,182.7500,181.09,0.324,1,39.06,34.07
165.78,running,183.4375,181.84,0.453,1,39.06,33.21
166.78,running,184.0625,182.59,0.590,1,39.06,33.65
167.80,running,184.7500,183.36,0.588,0,39.13,34.07
