import gc; gc.collect()
>>> import heat_step_test as hst
>>> hst.main(hst.IDENTIFY_60_TO_240, confirm=hst.CONFIRM)
# heat step test, 41 steps, 7500 s planned
# t,state,temp_c,target_c,duty,relay,cold_c,cpu_c
# step climb to 60C: duty 1.000, ceiling 36 C, 600 s
801.23,steptest,34.0000,,1.000,0,27.81,32.79
801.48,steptest,34.0000,,1.000,0,27.81,33.44
801.73,steptest,34.0000,,1.000,0,27.81,33.65
801.98,steptest,33.9375,,1.000,0,27.81,32.36
802.23,steptest,33.9375,,1.000,0,27.81,32.80
802.48,steptest,33.9375,,1.000,0,27.75,33.00
802.73,steptest,33.8750,,1.000,0,27.75,33.44
802.98,steptest,33.9375,,1.000,0,27.81,33.65
803.23,steptest,33.8750,,1.000,0,27.75,33.22
803.48,steptest,33.9375,,1.000,0,27.81,33.43
803.73,steptest,33.9375,,1.000,0,27.81,33.64
803.98,steptest,33.8750,,1.000,0,27.75,33.43
804.23,steptest,33.9375,,1.000,0,27.81,33.22
804.48,steptest,33.9375,,1.000,0,27.81,33.00
804.73,steptest,33.9375,,1.000,0,27.81,33.22
804.98,steptest,33.9375,,1.000,0,27.81,33.22
805.23,steptest,33.8750,,1.000,1,27.75,33.01
805.48,steptest,33.8750,,1.000,1,27.75,33.00
805.73,steptest,33.8750,,1.000,1,27.75,33.01
805.98,steptest,33.8750,,1.000,1,27.75,32.79
806.23,steptest,33.9375,,1.000,1,27.81,33.00
806.48,steptest,33.8125,,1.000,1,27.75,33.43
806.73,steptest,33.8750,,1.000,1,27.75,33.01
806.98,steptest,33.8750,,1.000,1,27.75,33.43
807.23,steptest,33.8750,,1.000,1,27.75,33.22
807.48,steptest,33.9375,,1.000,1,27.81,33.22
807.73,steptest,33.8750,,1.000,1,27.81,33.22
807.98,steptest,33.8750,,1.000,1,27.81,33.22
808.23,steptest,33.8750,,1.000,1,27.81,33.22
808.48,steptest,33.8750,,1.000,1,27.81,33.44
808.73,steptest,33.8125,,1.000,1,27.75,32.80
808.98,steptest,33.8125,,1.000,1,27.75,33.22
809.23,steptest,33.8125,,1.000,1,27.75,33.22
809.48,steptest,33.8750,,1.000,1,27.81,32.79
809.73,steptest,33.8750,,1.000,1,27.75,33.43
809.98,steptest,33.8125,,1.000,1,27.75,32.59
810.23,steptest,33.8125,,1.000,1,27.75,33.43
810.48,steptest,33.8750,,1.000,1,27.75,33.22
810.73,steptest,33.9375,,1.000,1,27.81,33.22
810.98,steptest,33.8750,,1.000,1,27.75,33.22
811.23,steptest,33.8750,,1.000,1,27.75,32.79
811.48,steptest,33.9375,,1.000,1,27.81,33.43
811.73,steptest,33.9375,,1.000,1,27.75,33.65
811.98,steptest,33.9375,,1.000,1,27.75,33.43
812.23,steptest,33.9375,,1.000,1,27.75,33.22
812.48,steptest,33.9375,,1.000,1,27.75,33.01
812.73,steptest,34.0000,,1.000,1,27.75,33.01
812.98,steptest,34.0000,,1.000,1,27.75,33.65
813.23,steptest,34.0625,,1.000,1,27.75,32.79
813.48,steptest,34.0625,,1.000,1,27.75,33.00
813.73,steptest,34.1250,,1.000,1,27.75,33.01
813.98,steptest,34.1875,,1.000,1,27.75,33.01
814.23,steptest,34.2500,,1.000,1,27.75,33.44
814.48,steptest,34.2500,,1.000,1,27.75,33.22
814.73,steptest,34.3125,,1.000,1,27.75,33.22
814.98,steptest,34.3750,,1.000,1,27.75,32.58
815.23,steptest,34.4375,,1.000,1,27.75,33.43
815.48,steptest,34.4375,,1.000,1,27.75,32.80
815.73,steptest,34.5000,,1.000,1,27.75,33.01
815.98,steptest,34.6250,,1.000,1,27.81,33.23
816.23,steptest,34.6250,,1.000,1,27.69,32.79
816.48,steptest,34.6875,,1.000,1,27.69,33.00
816.73,steptest,34.6875,,1.000,1,27.69,33.00
816.98,steptest,34.8125,,1.000,1,27.69,33.22
817.23,steptest,35.0000,,1.000,1,27.75,33.22
817.48,steptest,35.0000,,1.000,1,27.75,32.79
817.73,steptest,35.0000,,1.000,1,27.75,33.00
817.98,steptest,35.1875,,1.000,1,27.75,33.01
818.23,steptest,35.3125,,1.000,1,27.75,33.22
818.48,steptest,35.5000,,1.000,1,27.75,32.79
818.73,steptest,35.5000,,1.000,1,27.75,33.01
818.98,steptest,35.6250,,1.000,1,27.75,33.01
819.23,steptest,35.6875,,1.000,1,27.75,32.79
819.48,steptest,35.9375,,1.000,1,27.75,33.22
819.73,steptest,36.0000,,1.000,1,27.75,34.08
819.98,steptest,36.0000,,1.000,1,27.75,33.43
820.23,steptest,36.1875,,1.000,1,27.75,33.22
820.48,steptest,36.3750,,0.000,1,27.75,33.65
# step 60C settle: duty 0.043, ceiling 80 C, 180 s
820.73,steptest,36.5000,,0.043,1,27.75,32.79
820.98,steptest,36.5000,,0.043,1,27.75,33.44
821.23,steptest,36.7500,,0.043,0,27.75,32.79
821.48,steptest,36.8750,,0.043,0,27.75,33.22
