# from ident-run.txt; duty is the COMMANDED duty, which the run log does not carry
elapsed_s,state,temp_c,target_c,duty,relay,cold_c,cpu_c
0.00,steptest,34.0000,,1.000,0,27.81,32.79
1.00,steptest,33.9375,,1.000,0,27.81,32.80
2.00,steptest,33.8750,,1.000,0,27.75,33.22
3.00,steptest,33.9375,,1.000,0,27.81,33.22
4.00,steptest,33.8750,,1.000,1,27.75,33.01
5.00,steptest,33.9375,,1.000,1,27.81,33.00
6.00,steptest,33.8750,,1.000,1,27.75,33.22
7.00,steptest,33.8750,,1.000,1,27.81,33.22
8.00,steptest,33.8125,,1.000,1,27.75,33.22
9.00,steptest,33.8125,,1.000,1,27.75,33.43
10.00,steptest,33.8750,,1.000,1,27.75,32.79
11.00,steptest,33.9375,,1.000,1,27.75,33.22
12.00,steptest,34.0625,,1.000,1,27.75,32.79
13.00,steptest,34.2500,,1.000,1,27.75,33.44
14.00,steptest,34.4375,,1.000,1,27.75,33.43
15.00,steptest,34.6250,,1.000,1,27.69,32.79
16.00,steptest,35.0000,,1.000,1,27.75,33.22
17.00,steptest,35.3125,,1.000,1,27.75,33.22
18.00,steptest,35.6875,,1.000,1,27.75,32.79
19.00,steptest,36.1875,,1.000,1,27.75,33.22
20.00,steptest,36.7500,,0.043,0,27.75,32.79
21.00,steptest,37.2500,,0.043,0,27.69,32.79
22.00,steptest,37.7500,,0.043,0,27.75,32.57
23.00,steptest,38.0625,,0.043,0,27.75,33.22
24.00,steptest,38.4375,,0.043,0,27.69,33.65
25.00,steptest,38.8750,,0.043,0,27.75,33.00
26.00,steptest,39.2500,,0.043,0,27.75,32.79
27.00,steptest,39.6250,,0.043,0,27.75,33.43
28.00,steptest,39.9375,,0.043,0,27.75,34.29
29.00,steptest,40.2500,,0.043,0,27.75,33.86
30.00,steptest,40.6875,,0.043,0,27.75,33.22
31.00,steptest,41.0000,,0.043,0,27.69,33.64
32.00,steptest,41.3125,,0.043,0,27.69,33.22
33.00,steptest,41.6250,,0.043,0,27.69,32.58
34.00,steptest,42.0000,,0.043,0,27.75,33.00
35.00,steptest,42.2500,,0.043,0,27.69,32.79
36.00,steptest,42.6250,,0.043,0,27.69,33.01
37.00,steptest,42.9375,,0.043,0,27.69,33.01
38.00,steptest,43.2500,,0.043,0,27.69,33.22
39.00,steptest,43.5625,,0.043,0,27.69,33.01
40.00,steptest,43.8750,,0.043,0,27.69,33.44
41.00,steptest,44.1250,,0.043,0,27.69,33.01
42.00,steptest,44.3750,,0.043,0,27.69,33.00
43.00,steptest,44.6250,,0.043,0,27.69,33.01
44.00,steptest,44.8750,,0.043,0,27.69,33.22
45.00,steptest,45.0625,,0.043,0,27.63,33.22
46.00,steptest,45.2500,,0.043,0,27.63,33.01
47.00,steptest,45.6250,,0.043,0,27.69,33.22
48.00,steptest,45.8125,,0.043,0,27.69,32.36
49.00,steptest,46.0000,,0.043,0,27.69,33.00
50.00,steptest,46.1875,,0.043,0,27.69,33.22
51.00,steptest,46.4375,,0.043,0,27.69,33.65
52.00,steptest,46.6250,,0.043,0,27.69,33.65
53.00,steptest,46.8125,,0.043,0,27.69,33.22
54.00,steptest,47.0000,,0.043,0,27.69,32.79
