# Taeron Reflow Oven run log
# firmware,v2.0-dev
# profile,STEP 250 C
# started_at_epoch,1789071625
# started_at_local,2026-09-10 13:20:25 PDT
# entered_at_s,0.0
# wall clock of a row = started_at_epoch + elapsed_s
elapsed_s,target_c,actual_c,relay,cold_c,cpu_c
# event,0.0,run_started,profile=STEP 250 C
-0.5,25.00,22.938,0,23.25,34.08
# event,0.4,stage_changed,stage=hold
0.6,25.17,23.000,0,23.31,33.22
1.6,25.32,23.063,0,23.31,33.65
2.9,25.51,23.000,0,23.31,33.64
3.9,25.66,23.063,1,23.31,33.65
5.1,25.85,23.000,1,23.31,33.65
6.1,26.00,23.000,1,23.31,33.65
7.4,26.19,23.063,1,23.31,32.79
8.4,26.34,23.063,1,23.31,33.87
9.6,26.54,23.063,1,23.38,33.43
10.9,26.72,23.188,1,23.31,33.22
11.9,26.88,23.375,1,23.38,33.44
12.9,27.19,23.500,1,23.31,34.29
13.9,27.53,23.813,1,23.31,33.22
15.1,27.94,24.063,1,23.31,33.44
16.1,28.28,24.375,1,23.31,33.44
17.4,28.70,24.813,1,23.38,33.22
18.4,29.04,25.250,1,23.38,33.01
19.6,29.46,25.875,1,23.38,33.22
20.6,29.95,26.313,1,23.31,34.08
21.6,30.54,27.250,1,23.31,33.44
22.7,31.14,27.938,1,23.31,33.65
23.9,31.85,28.688,1,23.31,33.01
24.9,32.44,29.938,1,23.25,33.22
26.1,33.48,30.938,1,23.31,33.00
27.1,34.48,32.125,1,23.31,33.44
28.1,35.46,33.188,1,23.31,33.43
29.4,36.66,34.563,1,23.31,33.65
30.6,38.07,36.063,1,23.31,33.87
31.9,39.68,37.938,1,23.38,33.44
32.9,40.98,39.188,1,23.31,33.65
33.9,42.28,40.563,1,23.31,33.65
34.9,43.61,42.188,1,23.31,33.44
36.0,44.93,43.938,1,23.31,33.44
37.1,46.71,45.375,1,23.31,33.65
38.1,48.28,47.313,1,23.31,33.22
39.1,49.84,48.813,1,23.31,33.43
40.1,51.40,50.438,1,23.38,33.65
41.4,53.37,52.813,1,23.38,33.43
42.6,55.29,54.438,1,23.38,33.22
43.6,56.88,56.938,1,23.38,33.87
