# Taeron Reflow Oven run log
# firmware,v2.0-dev
# profile,TS391LT
# started_at_epoch,1789080336
# started_at_local,2026-09-10 15:45:36 PDT
# entered_at_s,24.3
# wall clock of a row = started_at_epoch + elapsed_s
elapsed_s,target_c,actual_c,relay,cold_c,cpu_c
# event,24.3,run_started,entered_at_s=24.3 oven_c=28.4 profile=TS391LT
23.9,25.00,28.438,0,32.06,36.20
# event,24.7,stage_changed,stage=preheat
25.2,28.74,28.500,0,32.13,34.92
26.4,29.03,28.438,0,32.06,34.92
27.7,29.32,28.563,0,32.06,34.92
28.7,29.56,28.625,1,32.06,35.35
29.7,29.88,28.750,1,32.13,34.93
30.7,30.31,28.688,1,32.06,35.14
31.9,30.83,28.813,0,32.06,35.99
32.9,31.25,28.875,1,32.06,35.35
33.9,31.68,29.000,1,32.06,35.14
34.9,32.10,29.000,1,32.00,34.92
36.2,32.63,29.188,1,32.00,35.35
37.2,33.08,29.375,1,32.00,35.78
38.2,33.77,29.688,1,32.06,34.92
39.4,34.62,29.938,1,32.00,35.14
40.7,35.47,30.438,1,32.00,34.71
41.9,36.31,30.875,1,32.00,35.14
42.9,37.00,31.313,1,32.00,35.14
44.0,37.71,32.125,1,32.00,35.35
45.2,38.75,32.750,1,32.00,34.93
46.2,39.67,33.375,1,31.94,35.35
47.2,40.60,34.313,1,31.94,34.29
48.4,41.75,35.375,1,32.00,35.14
49.7,42.90,36.313,1,31.88,35.35
50.9,44.05,37.813,1,31.94,34.92
51.9,44.97,38.813,1,31.94,35.14
52.9,45.91,39.938,1,31.94,35.56
54.2,47.24,41.625,1,31.94,34.93
55.2,48.35,42.813,1,31.88,35.78
56.2,49.46,44.063,1,31.88,34.93
57.2,50.57,45.438,1,31.88,35.14
58.2,51.69,46.813,1,31.88,34.71
59.2,52.83,48.250,1,31.88,35.14
60.2,53.98,50.438,1,31.81,35.56
61.4,55.29,52.000,1,31.88,35.14
62.7,56.67,54.250,1,31.81,34.92
63.9,58.07,56.313,1,31.88,34.71
64.9,59.18,57.875,1,31.81,34.71
66.2,60.72,60.250,1,31.75,34.50
67.4,62.26,62.313,1,31.75,34.71
68.4,63.51,64.438,0,31.81,34.93
69.7,65.05,66.250,0,31.81,34.50
70.9,66.61,67.438,0,31.75,34.93
71.9,67.85,69.063,0,31.81,34.71
73.2,69.38,69.938,0,31.81,34.71
74.2,70.62,70.875,1,31.81,34.71
75.2,71.87,71.750,0,31.75,34.93
76.5,73.48,73.125,0,31.81,35.14
77.5,74.71,74.250,0,31.81,35.14
78.7,76.20,75.250,1,31.81,35.14
79.7,77.44,75.938,1,31.75,34.93
80.9,78.99,77.063,0,31.69,35.14
82.2,80.57,78.375,1,31.75,35.35
83.2,81.91,79.188,1,31.75,35.35
84.4,83.42,80.500,1,31.75,35.56
85.7,84.98,81.750,1,31.75,34.50
86.7,86.26,82.875,1,31.69,34.92
87.7,87.52,84.000,1,31.69,35.35
88.9,89.08,85.813,1,31.69,34.71
89.9,90.12,87.063,1,31.69,35.35
90.9,90.57,88.375,1,31.69,34.93
92.2,91.12,90.438,1,31.69,35.14
93.2,91.57,91.813,0,31.69,34.50
94.4,92.12,93.625,0,31.75,35.14
95.4,92.57,94.500,0,31.75,35.35
96.7,93.12,95.250,0,31.69,35.14
97.9,93.68,96.188,0,31.69,34.92
98.9,94.12,97.000,0,31.75,34.92
99.9,94.57,97.500,0,31.69,34.93
100.9,95.01,98.250,0,31.75,34.93
102.2,95.57,98.563,0,31.69,34.93
103.4,96.13,99.188,0,31.69,34.50
# event,104.7,stage_changed,stage=soak
104.7,96.68,99.750,0,31.75,35.56
105.9,97.23,100.125,0,31.75,35.14
106.9,97.68,100.375,0,31.69,34.93
108.2,98.24,100.750,0,31.69,35.14
109.4,98.79,101.000,0,31.75,34.50
110.4,99.23,101.125,0,31.69,34.93
111.7,99.79,101.313,0,31.69,35.14
112.7,100.23,101.438,0,31.69,35.14
113.7,100.71,101.563,0,31.69,34.50
114.9,101.23,101.625,1,31.69,35.14
115.9,101.68,101.625,1,31.63,35.35
117.2,102.23,101.813,0,31.69,35.14
118.4,102.79,101.938,0,31.69,34.71
119.4,103.23,102.188,1,31.69,34.49
120.4,103.68,102.250,1,31.69,35.78
121.4,104.12,102.438,1,31.69,35.14
122.4,104.57,102.813,0,31.69,34.50
123.4,105.01,103.125,1,31.75,34.92
124.7,105.57,103.563,1,31.75,35.14
125.7,106.01,103.875,1,31.69,35.35
126.9,106.57,104.500,1,31.75,35.14
127.9,107.02,105.313,1,31.69,34.50
129.0,107.48,106.063,1,31.75,34.72
130.0,107.94,106.813,1,31.75,34.71
131.2,108.46,108.063,1,31.75,35.35
132.4,109.01,109.000,1,31.81,35.35
133.4,109.45,109.875,0,31.75,34.71
134.4,109.90,111.125,0,31.75,34.71
135.7,110.45,111.813,0,31.75,34.50
136.7,110.90,112.313,0,31.75,34.92
137.9,111.45,113.000,0,31.81,34.92
138.9,111.90,113.375,0,31.81,34.93
140.2,112.46,113.750,0,31.81,35.14
