# Taeron Reflow Oven run log
# firmware,v2.0-dev
# profile,TS391SNL
# started_at_epoch,1789073775
# started_at_local,2026-09-10 13:56:15 PDT
# entered_at_s,33.9
# wall clock of a row = started_at_epoch + elapsed_s
elapsed_s,target_c,actual_c,relay,cold_c,cpu_c
# event,33.9,run_started,entered_at_s=33.9 oven_c=34.1 profile=TS391SNL
33.7,25.00,34.125,0,30.00,35.35
# event,34.4,stage_changed,stage=preheat
34.7,34.95,34.063,0,30.00,34.29
35.9,35.88,34.000,0,29.94,34.07
37.2,36.84,34.063,0,30.00,33.86
38.2,37.63,33.813,1,29.94,33.86
39.2,38.61,34.000,1,29.94,34.28
40.4,39.92,34.000,1,29.94,33.86
41.4,40.99,34.000,1,29.94,33.65
42.4,42.07,34.000,1,29.94,34.07
43.5,43.16,34.063,1,29.94,34.29
44.7,44.46,34.125,1,29.94,34.29
45.9,45.80,34.188,1,29.88,34.50
47.0,47.04,34.375,1,29.88,34.08
48.2,48.60,34.688,1,29.94,34.71
49.4,50.17,35.000,1,29.88,34.50
50.4,51.45,35.313,1,29.88,33.86
51.4,52.72,35.688,1,29.88,34.07
52.4,53.99,36.125,1,29.88,34.29
53.7,55.57,36.813,1,29.88,34.29
54.7,56.86,37.375,1,29.88,34.71
55.7,58.20,38.063,1,29.94,34.07
56.9,59.78,39.125,1,29.94,34.50
58.2,61.57,40.000,1,29.88,34.07
59.4,63.35,41.250,1,29.88,34.07
60.7,65.14,42.250,1,29.88,34.71
61.7,66.57,43.750,1,29.88,34.07
62.7,68.01,44.813,1,29.88,33.86
63.7,69.44,45.938,1,29.81,34.07
64.9,71.23,47.500,1,29.88,34.08
65.9,72.66,49.000,1,29.88,34.71
66.9,74.13,50.313,1,29.81,33.86
67.9,75.58,51.625,1,29.81,33.86
69.0,77.03,53.063,1,29.81,33.64
70.2,78.75,55.188,1,29.81,34.29
71.4,80.54,57.063,1,29.81,34.29
72.7,82.30,58.500,1,29.81,34.50
73.7,83.74,60.938,1,29.81,34.29
74.9,85.50,62.563,1,29.81,34.29
76.2,87.29,64.938,1,29.81,34.71
77.4,89.04,66.938,1,29.75,34.29
78.7,90.81,69.500,1,29.81,34.50
79.7,92.31,71.188,1,29.81,34.29
80.9,94.00,73.250,1,29.81,33.86
82.2,95.76,75.813,1,29.75,34.07
83.2,97.20,77.563,1,29.81,33.65
84.4,98.95,80.188,1,29.81,34.29
85.7,100.72,81.813,1,29.81,34.29
86.9,102.49,84.125,1,29.81,34.50
87.9,103.95,85.875,1,29.81,33.86
89.2,105.70,88.500,1,29.81,33.86
90.4,107.46,90.688,1,29.81,34.29
91.5,108.81,92.813,1,29.81,34.29
92.5,110.12,94.563,1,29.81,34.71
93.5,111.42,96.688,1,29.81,34.29
94.5,112.71,98.438,1,29.81,34.29
95.5,114.02,100.563,1,29.81,34.29
96.7,115.50,102.250,1,29.81,34.08
97.7,116.81,103.875,1,29.81,34.07
98.9,118.41,105.938,1,29.75,34.71
100.2,120.00,108.500,1,29.81,34.50
101.2,121.30,110.125,1,29.75,34.08
102.4,122.89,112.625,1,29.81,34.29
103.4,124.19,114.250,1,29.81,33.85
104.4,125.48,115.813,1,29.81,34.50
105.7,126.95,117.688,1,29.75,34.29
106.7,128.15,119.688,1,29.75,33.86
107.7,129.33,121.313,1,29.81,33.86
108.7,130.51,123.188,1,29.81,34.93
109.9,131.87,124.750,1,29.81,34.29
110.9,133.05,126.625,1,29.81,34.08
112.2,134.47,128.500,1,29.81,34.28
113.2,135.65,129.938,1,29.81,34.07
114.4,137.09,132.125,1,29.81,34.71
115.5,138.32,133.563,1,29.88,34.08
116.7,139.71,135.375,1,29.88,34.72
117.9,141.15,137.500,1,29.88,33.86
118.9,142.24,138.875,1,29.88,33.44
120.2,143.55,140.938,1,29.88,34.50
121.2,144.60,142.313,1,29.94,34.50
122.2,145.65,143.688,1,29.94,34.50
123.4,146.96,145.625,1,29.94,34.07
124.4,148.04,146.875,1,29.94,34.50
125.7,149.32,148.438,1,29.94,33.86
# event,126.4,stage_changed,stage=soak
126.7,150.15,149.625,1,29.94,33.64
127.7,150.57,151.188,0,29.94,34.07
128.9,151.04,152.313,0,29.94,34.08
130.2,151.55,153.125,0,29.94,33.64
131.4,152.04,153.563,0,29.94,34.29
132.4,152.45,153.938,0,30.00,34.07
133.7,152.94,154.000,1,30.00,34.29
134.7,153.34,154.438,0,30.06,34.50
135.9,153.84,154.688,0,30.06,34.07
136.9,154.24,154.813,1,30.06,33.86
138.2,154.74,154.875,1,30.06,34.50
139.2,155.14,155.125,0,30.13,34.07
140.5,155.66,155.375,0,30.13,33.43
141.7,156.14,155.625,1,30.13,34.29
142.9,156.64,155.875,1,30.13,34.07
143.9,157.04,156.313,1,30.19,34.07
145.2,157.54,156.813,1,30.25,34.08
146.2,157.95,157.063,1,30.25,33.64
147.4,158.45,157.625,1,30.25,33.86
148.7,158.94,158.188,0,30.31,33.86
149.9,159.44,158.625,1,30.25,33.86
150.9,159.84,159.063,1,30.31,34.07
152.2,160.34,159.563,1,30.38,34.08
153.2,160.74,160.063,0,30.31,34.50
154.2,161.14,160.750,1,30.38,34.28
155.4,161.64,161.188,1,30.44,34.29
156.4,162.04,161.813,1,30.50,34.50
157.4,162.45,162.625,0,30.50,34.07
158.7,162.95,163.063,1,30.56,33.86
159.9,163.44,163.750,1,30.50,34.07
161.2,163.94,164.375,0,30.50,34.29
162.2,164.34,164.750,1,30.56,33.86
163.2,164.74,165.063,1,30.56,34.50
164.2,165.14,165.563,0,30.63,34.71
165.4,165.65,166.000,0,30.63,34.29
166.4,166.05,166.250,1,30.69,34.71
167.5,166.45,166.500,1,30.69,34.07
168.7,166.94,167.000,0,30.69,34.29
169.9,167.44,167.375,1,30.75,34.28
171.2,167.94,167.688,1,30.75,34.28
172.2,168.34,168.063,1,30.81,34.28
173.4,168.84,168.625,0,30.88,34.50
