# Taeron Reflow Oven run log
# firmware,v2.0-dev
# profile,TS391SNL
# started_at_epoch,1789078288
# started_at_local,2026-09-10 15:11:28 PDT
# entered_at_s,56.9
# wall clock of a row = started_at_epoch + elapsed_s
elapsed_s,target_c,actual_c,relay,cold_c,cpu_c
# event,56.9,run_started,entered_at_s=56.9 oven_c=59.4 profile=TS391SNL
56.6,25.00,59.375,0,31.38,35.78
# event,57.3,stage_changed,stage=preheat
57.6,60.84,59.375,0,31.44,34.71
58.8,62.60,59.250,0,31.44,34.93
59.8,64.05,59.188,0,31.38,34.93
61.1,65.82,59.188,1,31.44,34.28
62.1,67.27,59.063,1,31.44,34.71
63.3,69.04,59.000,1,31.44,34.50
64.3,70.48,58.938,1,31.44,34.50
65.6,72.26,58.875,1,31.44,34.07
66.6,73.70,59.000,1,31.50,34.71
67.6,75.14,59.000,1,31.44,34.50
68.6,76.58,59.125,1,31.50,34.07
69.6,78.02,59.188,1,31.44,34.50
70.9,79.81,59.500,1,31.50,34.93
71.9,81.27,59.813,1,31.50,34.50
73.1,82.98,60.188,1,31.44,34.71
74.1,84.39,60.625,1,31.50,34.93
75.1,85.82,61.063,1,31.50,34.71
76.1,87.23,61.750,1,31.50,34.71
77.3,88.99,62.438,1,31.50,34.07
78.3,90.41,63.063,1,31.50,34.50
79.6,92.18,63.938,1,31.50,34.93
80.6,93.61,65.000,1,31.56,34.93
81.6,95.04,65.688,1,31.50,34.50
82.8,96.78,66.625,1,31.50,34.71
83.9,98.24,68.063,1,31.56,34.28
85.1,100.02,69.000,1,31.56,34.50
86.3,101.75,70.625,1,31.63,34.28
87.7,103.62,71.938,1,31.56,34.50
88.7,105.07,73.063,1,31.56,34.71
89.8,106.72,74.938,1,31.56,34.29
91.1,108.40,76.500,1,31.56,34.29
92.3,110.01,78.500,1,31.63,34.92
93.3,111.31,79.813,1,31.56,34.71
94.4,112.62,81.313,1,31.63,34.93
95.4,113.92,83.125,1,31.56,34.29
96.4,115.24,84.563,1,31.63,34.71
97.6,116.77,86.438,1,31.63,34.71
98.8,118.36,88.688,1,31.63,34.28
99.8,119.66,90.188,1,31.63,34.50
101.1,121.28,92.125,1,31.63,34.71
102.1,122.58,94.188,1,31.69,34.07
103.3,124.15,95.750,1,31.69,34.71
104.3,125.44,97.313,1,31.63,34.50
105.3,126.61,99.750,1,31.69,34.28
106.3,127.78,101.375,1,31.69,34.93
107.6,129.29,103.375,1,31.69,35.14
108.8,130.67,105.000,1,31.69,34.71
110.1,132.18,107.438,1,31.75,34.50
111.2,133.41,109.438,1,31.69,34.50
112.3,134.75,111.500,1,31.75,35.14
113.3,135.91,113.125,1,31.75,34.29
114.6,137.35,115.125,1,31.75,34.71
115.8,138.80,117.625,1,31.81,34.50
116.8,139.96,119.125,1,31.81,35.14
117.9,141.15,120.688,1,31.81,34.93
119.1,142.47,123.063,1,31.81,35.14
120.3,143.78,125.063,1,31.88,34.29
121.3,144.84,126.625,1,31.88,34.50
122.4,145.90,128.563,1,31.88,34.71
123.6,147.19,130.500,1,31.88,34.50
124.9,148.57,132.750,1,31.94,34.50
126.1,149.82,134.188,1,31.94,34.71
# event,126.3,stage_changed,stage=soak
127.3,150.44,136.063,1,31.94,34.92
128.6,150.93,138.250,1,32.00,34.50
129.8,151.43,140.063,1,32.00,34.71
130.8,151.83,141.813,1,32.00,34.50
131.8,152.23,143.250,1,32.00,34.28
132.8,152.63,144.688,1,32.06,35.14
133.8,153.03,146.000,1,32.06,34.71
134.8,153.43,147.313,1,32.00,34.29
136.1,153.93,149.438,1,32.06,34.50
137.3,154.43,151.000,1,32.06,34.71
138.6,154.93,153.063,1,32.13,34.50
139.6,155.33,154.313,0,32.13,34.08
140.6,155.73,155.188,0,32.13,34.71
141.6,156.14,156.000,0,32.19,34.50
